route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2833721,12E,12
12E,Sem,2833887,12E,12
12E,Sem,2834442,12E,12
12E,Sem,2834467,12E,12
12E,Sem,2834684,12E,12
12E,Sem,2835180,12E,12
12E,Sem,2835209,12E,12
12E,Sem,2835434,12E,12
12E,Sem,2835581,12E,12
12E,Sem,2835905,12E,12
12E,Sem,2836415,12E,12
12E,Sem,2836524,12E,12
12E,Sem,2836600,12E,12
12E,Sem,2836675,12E,12
12E,Sem,2836704,12E,12
12E,Sem,2836769,12E,12
12E,Sem,2836831,12E,12
12E,Sem,2837132,12E,12
12E,Sem,2837359,12E,12
12E,Sem,2837855,12E,12
12E,Sem,2837876,12E,12
12O,Sem,2833722,12O,12
12O,Sem,2833888,12O,12
12O,Sem,2834443,12O,12
12O,Sem,2834468,12O,12
12O,Sem,2834685,12O,12
12O,Sem,2835181,12O,12
12O,Sem,2835210,12O,12
12O,Sem,2835435,12O,12
12O,Sem,2835582,12O,12
12O,Sem,2835906,12O,12
12O,Sem,2836416,12O,12
12O,Sem,2836525,12O,12
12O,Sem,2836601,12O,12
12O,Sem,2836676,12O,12
12O,Sem,2836705,12O,12
12O,Sem,2836770,12O,12
12O,Sem,2836832,12O,12
12O,Sem,2837133,12O,12
12O,Sem,2837360,12O,12
12O,Sem,2837856,12O,12
12O,Sem,2837877,12O,12
144E,Sem,2833811,144E,144
144E,Sem,2833815,144E,144
144E,Sem,2833944,144E,144
144E,Sem,2833955,144E,144
144E,Sem,2834002,144E,144
144E,Sem,2834153,144E,144
144E,Sem,2834310,144E,144
144E,Sem,2834314,144E,144
144E,Sem,2834402,144E,144
144E,Sem,2834835,144E,144
144E,Sem,2834975,144E,144
144E,Sem,2835030,144E,144
144E,Sem,2835034,144E,144
144E,Sem,2835038,144E,144
144E,Sem,2835067,144E,144
144E,Sem,2835243,144E,144
144E,Sem,2835639,144E,144
144E,Sem,2835809,144E,144
144E,Sem,2835816,144E,144
144E,Sem,2836034,144E,144
144E,Sem,2836181,144E,144
144E,Sem,2836659,144E,144
144E,Sem,2836668,144E,144
144E,Sem,2836867,144E,144
144E,Sem,2836901,144E,144
144E,Sem,2837055,144E,144
144E,Sem,2837269,144E,144
144E,Sem,2837273,144E,144
144E,Sem,2837379,144E,144
144E,Sem,2837467,144E,144
144E,Sem,2837645,144E,144
144E,Sem,2837649,144E,144
144E,Sem,2837963,144E,144
144E,Sem,2838097,144E,144
144O,Sem,2833587,144O,144
144O,Sem,2833814,144O,144
144O,Sem,2833943,144O,144
144O,Sem,2833947,144O,144
144O,Sem,2834096,144O,144
144O,Sem,2834174,144O,144
144O,Sem,2834260,144O,144
144O,Sem,2834313,144O,144
144O,Sem,2834317,144O,144
144O,Sem,2834755,144O,144
144O,Sem,2834838,144O,144
144O,Sem,2834892,144O,144
144O,Sem,2834936,144O,144
144O,Sem,2834974,144O,144
144O,Sem,2835037,144O,144
144O,Sem,2835070,144O,144
144O,Sem,2835610,144O,144
144O,Sem,2835987,144O,144
144O,Sem,2836037,144O,144
144O,Sem,2836187,144O,144
144O,Sem,2836309,144O,144
144O,Sem,2836334,144O,144
144O,Sem,2836382,144O,144
144O,Sem,2836439,144O,144
144O,Sem,2836643,144O,144
144O,Sem,2836904,144O,144
144O,Sem,2836991,144O,144
144O,Sem,2837272,144O,144
144O,Sem,2837276,144O,144
144O,Sem,2837378,144O,144
144O,Sem,2837507,144O,144
144O,Sem,2837641,144O,144
144O,Sem,2837644,144O,144
144O,Sem,2837648,144O,144
144O,Sem,2837891,144O,144
144O,Sem,2838100,144O,144
144O,Sem,2838145,144O,144
144O,Sem,2838155,144O,144
151N,Sem,2833748,151N,151
151N,Sem,2833818,151N,151
151N,Sem,2833903,151N,151
151N,Sem,2833937,151N,151
151N,Sem,2833973,151N,151
151N,Sem,2834005,151N,151
151N,Sem,2834412,151N,151
151N,Sem,2834418,151N,151
151N,Sem,2834422,151N,151
151N,Sem,2834445,151N,151
151N,Sem,2834449,151N,151
151N,Sem,2834663,151N,151
151N,Sem,2834689,151N,151
151N,Sem,2834708,151N,151
151N,Sem,2834888,151N,151
151N,Sem,2834895,151N,151
151N,Sem,2835041,151N,151
151N,Sem,2835051,151N,151
151N,Sem,2835202,151N,151
151N,Sem,2835254,151N,151
151N,Sem,2835277,151N,151
151N,Sem,2835806,151N,151
151N,Sem,2835819,151N,151
151N,Sem,2835931,151N,151
151N,Sem,2836047,151N,151
151N,Sem,2836169,151N,151
151N,Sem,2836435,151N,151
151N,Sem,2836671,151N,151
151N,Sem,2836682,151N,151
151N,Sem,2836921,151N,151
151N,Sem,2836942,151N,151
151N,Sem,2836953,151N,151
151N,Sem,2837177,151N,151
151N,Sem,2837197,151N,151
151N,Sem,2837201,151N,151
151N,Sem,2837373,151N,151
151N,Sem,2837470,151N,151
151N,Sem,2837558,151N,151
151N,Sem,2837627,151N,151
151N,Sem,2837631,151N,151
151N,Sem,2837637,151N,151
151N,Sem,2837657,151N,151
151N,Sem,2837750,151N,151
151N,Sem,2837753,151N,151
151N,Sem,2837757,151N,151
151N,Sem,2837966,151N,151
151N,Sem,2838019,151N,151
151N,Sem,2838135,151N,151
151N,Sem,2838182,151N,151
151N,Sem,2838217,151N,151
