route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2843562,12E,12
12E,Sem,2843725,12E,12
12E,Sem,2844238,12E,12
12E,Sem,2844265,12E,12
12E,Sem,2844477,12E,12
12E,Sem,2844667,12E,12
12E,Sem,2844994,12E,12
12E,Sem,2845023,12E,12
12E,Sem,2845329,12E,12
12E,Sem,2845598,12E,12
12E,Sem,2845740,12E,12
12E,Sem,2845969,12E,12
12E,Sem,2846135,12E,12
12E,Sem,2846418,12E,12
12E,Sem,2846476,12E,12
12E,Sem,2846755,12E,12
12E,Sem,2846973,12E,12
12E,Sem,2847081,12E,12
12E,Sem,2847159,12E,12
12E,Sem,2847475,12E,12
12E,Sem,2847917,12E,12
12O,Sem,2843563,12O,12
12O,Sem,2843726,12O,12
12O,Sem,2844239,12O,12
12O,Sem,2844266,12O,12
12O,Sem,2844478,12O,12
12O,Sem,2844668,12O,12
12O,Sem,2844995,12O,12
12O,Sem,2845024,12O,12
12O,Sem,2845330,12O,12
12O,Sem,2845599,12O,12
12O,Sem,2845741,12O,12
12O,Sem,2845970,12O,12
12O,Sem,2846136,12O,12
12O,Sem,2846419,12O,12
12O,Sem,2846477,12O,12
12O,Sem,2846756,12O,12
12O,Sem,2846974,12O,12
12O,Sem,2847082,12O,12
12O,Sem,2847160,12O,12
12O,Sem,2847476,12O,12
12O,Sem,2847918,12O,12
144E,Sem,2843660,144E,144
144E,Sem,2843664,144E,144
144E,Sem,2843792,144E,144
144E,Sem,2843847,144E,144
144E,Sem,2843896,144E,144
144E,Sem,2843971,144E,144
144E,Sem,2844113,144E,144
144E,Sem,2844117,144E,144
144E,Sem,2844198,144E,144
144E,Sem,2844390,144E,144
144E,Sem,2844394,144E,144
144E,Sem,2844474,144E,144
144E,Sem,2844550,144E,144
144E,Sem,2844778,144E,144
144E,Sem,2844838,144E,144
144E,Sem,2844842,144E,144
144E,Sem,2845164,144E,144
144E,Sem,2845240,144E,144
144E,Sem,2845368,144E,144
144E,Sem,2845558,144E,144
144E,Sem,2845592,144E,144
144E,Sem,2845722,144E,144
144E,Sem,2845727,144E,144
144E,Sem,2845787,144E,144
144E,Sem,2845854,144E,144
144E,Sem,2845896,144E,144
144E,Sem,2846037,144E,144
144E,Sem,2846043,144E,144
144E,Sem,2846344,144E,144
144E,Sem,2846353,144E,144
144E,Sem,2846516,144E,144
144E,Sem,2846549,144E,144
144E,Sem,2846609,144E,144
144E,Sem,2846874,144E,144
144E,Sem,2846878,144E,144
144E,Sem,2847388,144E,144
144E,Sem,2847392,144E,144
144E,Sem,2847680,144E,144
144E,Sem,2847901,144E,144
144E,Sem,2847958,144E,144
144O,Sem,2843431,144O,144
144O,Sem,2843663,144O,144
144O,Sem,2843899,144O,144
144O,Sem,2843911,144O,144
144O,Sem,2843929,144O,144
144O,Sem,2843992,144O,144
144O,Sem,2844069,144O,144
144O,Sem,2844116,144O,144
144O,Sem,2844120,144O,144
144O,Sem,2844393,144O,144
144O,Sem,2844473,144O,144
144O,Sem,2844537,144O,144
144O,Sem,2844675,144O,144
144O,Sem,2844729,144O,144
144O,Sem,2844777,144O,144
144O,Sem,2844841,144O,144
144O,Sem,2844869,144O,144
144O,Sem,2845367,144O,144
144O,Sem,2845663,144O,144
144O,Sem,2845725,144O,144
144O,Sem,2845902,144O,144
144O,Sem,2846052,144O,144
144O,Sem,2846077,144O,144
144O,Sem,2846149,144O,144
144O,Sem,2846316,144O,144
144O,Sem,2846515,144O,144
144O,Sem,2846519,144O,144
144O,Sem,2846877,144O,144
144O,Sem,2846881,144O,144
144O,Sem,2847144,144O,144
144O,Sem,2847329,144O,144
144O,Sem,2847342,144O,144
144O,Sem,2847384,144O,144
144O,Sem,2847387,144O,144
144O,Sem,2847391,144O,144
144O,Sem,2847547,144O,144
144O,Sem,2847668,144O,144
144O,Sem,2847904,144O,144
144O,Sem,2847957,144O,144
