trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,planned_arrival_time,planned_departure_time_from_origin
2809730,16299,16307,41033,1,0,0,0.284,16291,16260
2809730,16315,16320,42572,2,0,0,0.406,16305,16260
2809730,16339,16342,46623,3,0,0,0.643,16331,16260
2809730,16359,16362,46507,4,0,0,0.85,16353,16260
2809730,16385,16385,42570,5,0,0,1.074,16378,16260
2809730,16405,16405,46398,6,0,0,1.257,16398,16260
2809730,16426,16426,43163,7,0,0,1.447,16419,16260
2809730,16441,16445,43171,8,0,0,1.624,16438,16260
2809730,16479,16487,43169,9,0,0,2.086,16489,16260
2809730,16493,16496,43167,10,0,0,2.197,16501,16260
2809730,16510,16520,43165,11,0,0,2.392,16522,16260
2809730,16541,16544,41117,12,0,0,2.731,16559,16260
2809730,16556,16559,41115,13,0,0,2.879,16576,16260
2809730,16582,16599,41113,14,0,0,3.14,16604,16260
2809730,16612,16621,41209,15,0,0,3.313,16623,16260
2809730,16641,16645,41082,16,0,0,3.577,16652,16260
2809730,16685,16703,41883,17,0,0,3.952,16693,16260
2809730,16732,16749,41881,18,0,0,4.342,16736,16260
2809730,16763,16766,41879,19,0,0,4.53,16757,16260
2809730,16781,16824,41877,20,0,0,4.735,16779,16260
2809730,16835,16838,41874,21,0,0,4.894,16797,16260
2809730,16852,16868,41872,22,0,0,5.085,16818,16260
2809730,16887,16890,41870,23,0,0,5.365,16848,16260
2809730,16897,16914,41868,24,0,0,5.472,16860,16260
2809730,16937,16952,41866,25,0,0,5.744,16891,16260
2809730,16970,16973,41863,26,0,0,6.007,16921,16260
2809730,16998,17001,41861,27,0,0,6.422,16968,16260
2809730,17015,17031,41859,28,0,0,6.624,16992,16260
2809730,17050,17053,41857,29,0,0,6.881,17021,16260
2809730,17073,17075,41855,30,0,0,7.177,17055,16260
2809730,17095,17142,41853,31,0,0,7.475,17089,16260
2809730,17166,17169,41851,32,0,0,7.818,17128,16260
2809730,17188,17205,41850,33,0,0,8.079,17158,16260
2809730,17235,17239,41847,34,0,0,8.5,17206,16260
2809730,17249,17266,41845,35,0,0,8.66,17224,16260
2809730,17285,17288,41843,36,0,0,8.94,17256,16260
