route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2828894,12E,12
12E,Sem,2829040,12E,12
12E,Sem,2829103,12E,12
12E,Sem,2829579,12E,12
12E,Sem,2829602,12E,12
12E,Sem,2829823,12E,12
12E,Sem,2829999,12E,12
12E,Sem,2830307,12E,12
12E,Sem,2830336,12E,12
12E,Sem,2830705,12E,12
12E,Sem,2830788,12E,12
12E,Sem,2831036,12E,12
12E,Sem,2831389,12E,12
12E,Sem,2831685,12E,12
12E,Sem,2831714,12E,12
12E,Sem,2831795,12E,12
12E,Sem,2831901,12E,12
12E,Sem,2832186,12E,12
12E,Sem,2832313,12E,12
12E,Sem,2832637,12E,12
12E,Sem,2832688,12E,12
12E,Sem,2833115,12E,12
12O,Sem,2828895,12O,12
12O,Sem,2829041,12O,12
12O,Sem,2829104,12O,12
12O,Sem,2829580,12O,12
12O,Sem,2829603,12O,12
12O,Sem,2829824,12O,12
12O,Sem,2830000,12O,12
12O,Sem,2830308,12O,12
12O,Sem,2830337,12O,12
12O,Sem,2830706,12O,12
12O,Sem,2830789,12O,12
12O,Sem,2831037,12O,12
12O,Sem,2831390,12O,12
12O,Sem,2831686,12O,12
12O,Sem,2831715,12O,12
12O,Sem,2831796,12O,12
12O,Sem,2831902,12O,12
12O,Sem,2832187,12O,12
12O,Sem,2832314,12O,12
12O,Sem,2832638,12O,12
12O,Sem,2832689,12O,12
12O,Sem,2833116,12O,12
144E,Sem,2828851,144E,144
144E,Sem,2828982,144E,144
144E,Sem,2828986,144E,144
144E,Sem,2829328,144E,144
144E,Sem,2829459,144E,144
144E,Sem,2829463,144E,144
144E,Sem,2829533,144E,144
144E,Sem,2829646,144E,144
144E,Sem,2829820,144E,144
144E,Sem,2829957,144E,144
144E,Sem,2830094,144E,144
144E,Sem,2830164,144E,144
144E,Sem,2830168,144E,144
144E,Sem,2830172,144E,144
144E,Sem,2830215,144E,144
144E,Sem,2830386,144E,144
144E,Sem,2830599,144E,144
144E,Sem,2830964,144E,144
144E,Sem,2831030,144E,144
144E,Sem,2831056,144E,144
144E,Sem,2831175,144E,144
144E,Sem,2831238,144E,144
144E,Sem,2831242,144E,144
144E,Sem,2831289,144E,144
144E,Sem,2831402,144E,144
144E,Sem,2831408,144E,144
144E,Sem,2831537,144E,144
144E,Sem,2831680,144E,144
144E,Sem,2831731,144E,144
144E,Sem,2831871,144E,144
144E,Sem,2831916,144E,144
144E,Sem,2832347,144E,144
144E,Sem,2832356,144E,144
144E,Sem,2832468,144E,144
144E,Sem,2832549,144E,144
144E,Sem,2832958,144E,144
144E,Sem,2832962,144E,144
144E,Sem,2833083,144E,144
144E,Sem,2833181,144E,144
144E,Sem,2833224,144E,144
144E,Sem,2833228,144E,144
144O,Sem,2828659,144O,144
144O,Sem,2828761,144O,144
144O,Sem,2828985,144O,144
144O,Sem,2829267,144O,144
144O,Sem,2829349,144O,144
144O,Sem,2829418,144O,144
144O,Sem,2829462,144O,144
144O,Sem,2829466,144O,144
144O,Sem,2829645,144O,144
144O,Sem,2829872,144O,144
144O,Sem,2829960,144O,144
144O,Sem,2829991,144O,144
144O,Sem,2830007,144O,144
144O,Sem,2830093,144O,144
144O,Sem,2830171,144O,144
144O,Sem,2830199,144O,144
144O,Sem,2830218,144O,144
144O,Sem,2830751,144O,144
144O,Sem,2830952,144O,144
144O,Sem,2831062,144O,144
144O,Sem,2831178,144O,144
144O,Sem,2831241,144O,144
144O,Sem,2831323,144O,144
144O,Sem,2831417,144O,144
144O,Sem,2831441,144O,144
144O,Sem,2831473,144O,144
144O,Sem,2831510,144O,144
144O,Sem,2831854,144O,144
144O,Sem,2831915,144O,144
144O,Sem,2831919,144O,144
144O,Sem,2832467,144O,144
144O,Sem,2832774,144O,144
144O,Sem,2832827,144O,144
144O,Sem,2832954,144O,144
144O,Sem,2832957,144O,144
144O,Sem,2832961,144O,144
144O,Sem,2833018,144O,144
144O,Sem,2833184,144O,144
144O,Sem,2833227,144O,144
144O,Sem,2833231,144O,144
144O,Sem,2833261,144O,144
151N,Sem,2828854,151N,151
151N,Sem,2828921,151N,151
151N,Sem,2828989,151N,151
151N,Sem,2829056,151N,151
151N,Sem,2829139,151N,151
151N,Sem,2829283,151N,151
151N,Sem,2829331,151N,151
151N,Sem,2829543,151N,151
151N,Sem,2829549,151N,151
151N,Sem,2829553,151N,151
151N,Sem,2829582,151N,151
151N,Sem,2829586,151N,151
151N,Sem,2829639,151N,151
151N,Sem,2829797,151N,151
151N,Sem,2829810,151N,151
151N,Sem,2829828,151N,151
151N,Sem,2830003,151N,151
151N,Sem,2830010,151N,151
151N,Sem,2830175,151N,151
151N,Sem,2830239,151N,151
151N,Sem,2830329,151N,151
151N,Sem,2830344,151N,151
151N,Sem,2830860,151N,151
151N,Sem,2830967,151N,151
151N,Sem,2831078,151N,151
151N,Sem,2831115,151N,151
151N,Sem,2831188,151N,151
151N,Sem,2831405,151N,151
151N,Sem,2831481,151N,151
151N,Sem,2831506,151N,151
151N,Sem,2831662,151N,151
151N,Sem,2831692,151N,151
151N,Sem,2831868,151N,151
151N,Sem,2831972,151N,151
151N,Sem,2831983,151N,151
151N,Sem,2832243,151N,151
151N,Sem,2832269,151N,151
151N,Sem,2832273,151N,151
151N,Sem,2832359,151N,151
151N,Sem,2832418,151N,151
151N,Sem,2832437,151N,151
151N,Sem,2832441,151N,151
151N,Sem,2832462,151N,151
151N,Sem,2832540,151N,151
151N,Sem,2832552,151N,151
151N,Sem,2832673,151N,151
151N,Sem,2832841,151N,151
151N,Sem,2832883,151N,151
151N,Sem,2832950,151N,151
151N,Sem,2833022,151N,151
151N,Sem,2833026,151N,151
151N,Sem,2833086,151N,151
151N,Sem,2833129,151N,151
151N,Sem,2833298,151N,151
151N,Sem,2833332,151N,151
151S,Sem,2828654,151S,151
151S,Sem,2828891,151S,151
151S,Sem,2828904,151S,151
151S,Sem,2829053,151S,151
151S,Sem,2829057,151S,151
151S,Sem,2829201,151S,151
151S,Sem,2829280,151S,151
151S,Sem,2829284,151S,151
151S,Sem,2829387,151S,151
151S,Sem,2829546,151S,151
151S,Sem,2829550,151S,151
151S,Sem,2829583,151S,151
151S,Sem,2829642,151S,151
151S,Sem,2829678,151S,151
151S,Sem,2829978,151S,151
151S,Sem,2829988,151S,151
151S,Sem,2830004,151S,151
151S,Sem,2830011,151S,151
151S,Sem,2830068,151S,151
151S,Sem,2830236,151S,151
151S,Sem,2830283,151S,151
151S,Sem,2830340,151S,151
151S,Sem,2830345,151S,151
151S,Sem,2830381,151S,151
151S,Sem,2830573,151S,151
151S,Sem,2830597,151S,151
151S,Sem,2830834,151S,151
151S,Sem,2830968,151S,151
151S,Sem,2831059,151S,151
151S,Sem,2831320,151S,151
151S,Sem,2831406,151S,151
151S,Sem,2831507,151S,151
151S,Sem,2831693,151S,151
151S,Sem,2831859,151S,151
151S,Sem,2831969,151S,151
151S,Sem,2831973,151S,151
151S,Sem,2831980,151S,151
151S,Sem,2831984,151S,151
151S,Sem,2832124,151S,151
151S,Sem,2832240,151S,151
151S,Sem,2832244,151S,151
151S,Sem,2832266,151S,151
151S,Sem,2832270,151S,151
151S,Sem,2832438,151S,151
151S,Sem,2832448,151S,151
151S,Sem,2832537,151S,151
151S,Sem,2832553,151S,151
151S,Sem,2832782,151S,151
151S,Sem,2832842,151S,151
151S,Sem,2832951,151S,151
151S,Sem,2833023,151S,151
151S,Sem,2833027,151S,151
151S,Sem,2833126,151S,151
151S,Sem,2833295,151S,151
151S,Sem,2833328,151S,151
17N,Sem,2828875,17N,17
17N,Sem,2829081,17N,17
17N,Sem,2829105,17N,17
17N,Sem,2829189,17N,17
17N,Sem,2829309,17N,17
17N,Sem,2829355,17N,17
17N,Sem,2829615,17N,17
17N,Sem,2829687,17N,17
17N,Sem,2829695,17N,17
17N,Sem,2830048,17N,17
17N,Sem,2830145,17N,17
17N,Sem,2830276,17N,17
17N,Sem,2830278,17N,17
17N,Sem,2830497,17N,17
17N,Sem,2830696,17N,17
17N,Sem,2830754,17N,17
17N,Sem,2830771,17N,17
17N,Sem,2830861,17N,17
17N,Sem,2831027,17N,17
17N,Sem,2831034,17N,17
17N,Sem,2831069,17N,17
17N,Sem,2831137,17N,17
17N,Sem,2831210,17N,17
17N,Sem,2831227,17N,17
17N,Sem,2831387,17N,17
17N,Sem,2831391,17N,17
17N,Sem,2831563,17N,17
17N,Sem,2831716,17N,17
17N,Sem,2831757,17N,17
17N,Sem,2831821,17N,17
17N,Sem,2831931,17N,17
17N,Sem,2832001,17N,17
17N,Sem,2832084,17N,17
17N,Sem,2832086,17N,17
17N,Sem,2832373,17N,17
17N,Sem,2832506,17N,17
17N,Sem,2832525,17N,17
17N,Sem,2832535,17N,17
17N,Sem,2832639,17N,17
17N,Sem,2832845,17N,17
17N,Sem,2832926,17N,17
17N,Sem,2832967,17N,17
17N,Sem,2832969,17N,17
17N,Sem,2833164,17N,17
17S,Sem,2828646,17S,17
17S,Sem,2828876,17S,17
17S,Sem,2828972,17S,17
17S,Sem,2829039,17S,17
17S,Sem,2829082,17S,17
17S,Sem,2829106,17S,17
17S,Sem,2829190,17S,17
17S,Sem,2829454,17S,17
17S,Sem,2829469,17S,17
17S,Sem,2829616,17S,17
17S,Sem,2829688,17S,17
17S,Sem,2829696,17S,17
17S,Sem,2829836,17S,17
17S,Sem,2830049,17S,17
17S,Sem,2830146,17S,17
17S,Sem,2830496,17S,17
17S,Sem,2830498,17S,17
17S,Sem,2830500,17S,17
17S,Sem,2830522,17S,17
17S,Sem,2830590,17S,17
17S,Sem,2830755,17S,17
17S,Sem,2830772,17S,17
17S,Sem,2831028,17S,17
17S,Sem,2831035,17S,17
17S,Sem,2831138,17S,17
17S,Sem,2831205,17S,17
17S,Sem,2831312,17S,17
17S,Sem,2831388,17S,17
17S,Sem,2831822,17S,17
17S,Sem,2831932,17S,17
17S,Sem,2832405,17S,17
17S,Sem,2832507,17S,17
17S,Sem,2832511,17S,17
17S,Sem,2832526,17S,17
17S,Sem,2832640,17S,17
17S,Sem,2832909,17S,17
17S,Sem,2832927,17S,17
17S,Sem,2832970,17S,17
20E,Sem,2829080,20E,20
20E,Sem,2829573,20E,20
20E,Sem,2829598,20E,20
20E,Sem,2830229,20E,20
20E,Sem,2830306,20E,20
20E,Sem,2830509,20E,20
20E,Sem,2830757,20E,20
20E,Sem,2830995,20E,20
20E,Sem,2831021,20E,20
20E,Sem,2831331,20E,20
20E,Sem,2831520,20E,20
20E,Sem,2831591,20E,20
20E,Sem,2831688,20E,20
20E,Sem,2831798,20E,20
20E,Sem,2832060,20E,20
20E,Sem,2832083,20E,20
20E,Sem,2832112,20E,20
20E,Sem,2832191,20E,20
20E,Sem,2832235,20E,20
20E,Sem,2832966,20E,20
20E,Sem,2833220,20E,20
20O,Sem,2829079,20O,20
20O,Sem,2830228,20O,20
20O,Sem,2830305,20O,20
20O,Sem,2830508,20O,20
20O,Sem,2830655,20O,20
20O,Sem,2830756,20O,20
20O,Sem,2831020,20O,20
20O,Sem,2831296,20O,20
20O,Sem,2831330,20O,20
20O,Sem,2831590,20O,20
20O,Sem,2831635,20O,20
20O,Sem,2831687,20O,20
20O,Sem,2831797,20O,20
20O,Sem,2832111,20O,20
20O,Sem,2832190,20O,20
20O,Sem,2832214,20O,20
20O,Sem,2832793,20O,20
20O,Sem,2832819,20O,20
20O,Sem,2832965,20O,20
20O,Sem,2833117,20O,20
222E,Sem,2829010,222E,222
222E,Sem,2829027,222E,222
222E,Sem,2829029,222E,222
222E,Sem,2829984,222E,222
222E,Sem,2830224,222E,222
222E,Sem,2830633,222E,222
222E,Sem,2830657,222E,222
222E,Sem,2830767,222E,222
222E,Sem,2830786,222E,222
