route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2886520,12E,12
12E,Sem,2886765,12E,12
12E,Sem,2887125,12E,12
12E,Sem,2887434,12E,12
12E,Sem,2887449,12E,12
12E,Sem,2887700,12E,12
12E,Sem,2887916,12E,12
12E,Sem,2887933,12E,12
12E,Sem,2888243,12E,12
12E,Sem,2888263,12E,12
12E,Sem,2888742,12E,12
12E,Sem,2889033,12E,12
12E,Sem,2889186,12E,12
12E,Sem,2889368,12E,12
12E,Sem,2889562,12E,12
12E,Sem,2889668,12E,12
12E,Sem,2889695,12E,12
12E,Sem,2889767,12E,12
12E,Sem,2889909,12E,12
12E,Sem,2890148,12E,12
12E,Sem,2890507,12E,12
12E,Sem,2890558,12E,12
12O,Sem,2886521,12O,12
12O,Sem,2886766,12O,12
12O,Sem,2887126,12O,12
12O,Sem,2887435,12O,12
12O,Sem,2887450,12O,12
12O,Sem,2887701,12O,12
12O,Sem,2887917,12O,12
12O,Sem,2887934,12O,12
12O,Sem,2888244,12O,12
12O,Sem,2888264,12O,12
12O,Sem,2888743,12O,12
12O,Sem,2889034,12O,12
12O,Sem,2889187,12O,12
12O,Sem,2889369,12O,12
12O,Sem,2889563,12O,12
12O,Sem,2889669,12O,12
12O,Sem,2889696,12O,12
12O,Sem,2889768,12O,12
12O,Sem,2889910,12O,12
12O,Sem,2890149,12O,12
12O,Sem,2890508,12O,12
12O,Sem,2890559,12O,12
144E,Sem,2886717,144E,144
144E,Sem,2886753,144E,144
144E,Sem,2886854,144E,144
144E,Sem,2886858,144E,144
144E,Sem,2886928,144E,144
144E,Sem,2887177,144E,144
144E,Sem,2887247,144E,144
144E,Sem,2887251,144E,144
144E,Sem,2887301,144E,144
144E,Sem,2887305,144E,144
144E,Sem,2887368,144E,144
144E,Sem,2887697,144E,144
144E,Sem,2887810,144E,144
144E,Sem,2888068,144E,144
144E,Sem,2888127,144E,144
144E,Sem,2888269,144E,144
144E,Sem,2888347,144E,144
144E,Sem,2888555,144E,144
144E,Sem,2888818,144E,144
144E,Sem,2888822,144E,144
144E,Sem,2888933,144E,144
144E,Sem,2889027,144E,144
144E,Sem,2889053,144E,144
144E,Sem,2889093,144E,144
144E,Sem,2889110,144E,144
144E,Sem,2889154,144E,144
144E,Sem,2889381,144E,144
144E,Sem,2889387,144E,144
144E,Sem,2889526,144E,144
144E,Sem,2889712,144E,144
144E,Sem,2889878,144E,144
144E,Sem,2890265,144E,144
144E,Sem,2890269,144E,144
144E,Sem,2890275,144E,144
144E,Sem,2890284,144E,144
144E,Sem,2890405,144E,144
144E,Sem,2890833,144E,144
144E,Sem,2890837,144E,144
144E,Sem,2890980,144E,144
144E,Sem,2891112,144E,144
144O,Sem,2886614,144O,144
144O,Sem,2886752,144O,144
144O,Sem,2886762,144O,144
144O,Sem,2886857,144O,144
144O,Sem,2887094,144O,144
144O,Sem,2887198,144O,144
144O,Sem,2887250,144O,144
144O,Sem,2887304,144O,144
144O,Sem,2887308,144O,144
144O,Sem,2887320,144O,144
144O,Sem,2887696,144O,144
144O,Sem,2887799,144O,144
144O,Sem,2887941,144O,144
144O,Sem,2888157,144O,144
144O,Sem,2888701,144O,144
144O,Sem,2888720,144O,144
144O,Sem,2888821,144O,144
144O,Sem,2888851,144O,144
144O,Sem,2888921,144O,144
144O,Sem,2889059,144O,144
144O,Sem,2889113,144O,144
144O,Sem,2889157,144O,144
144O,Sem,2889288,144O,144
144O,Sem,2889396,144O,144
144O,Sem,2889453,144O,144
144O,Sem,2889869,144O,144
144O,Sem,2890264,144O,144
144O,Sem,2890268,144O,144
144O,Sem,2890272,144O,144
144O,Sem,2890368,144O,144
144O,Sem,2890404,144O,144
144O,Sem,2890658,144O,144
144O,Sem,2890715,144O,144
144O,Sem,2890829,144O,144
144O,Sem,2890832,144O,144
144O,Sem,2890836,144O,144
144O,Sem,2890918,144O,144
144O,Sem,2891115,144O,144
144O,Sem,2891131,144O,144
144O,Sem,2891176,144O,144
151N,Sem,2886720,151N,151
151N,Sem,2886746,151N,151
151N,Sem,2886792,151N,151
151N,Sem,2886861,151N,151
151N,Sem,2886893,151N,151
151N,Sem,2886979,151N,151
151N,Sem,2887180,151N,151
151N,Sem,2887378,151N,151
151N,Sem,2887384,151N,151
151N,Sem,2887388,151N,151
151N,Sem,2887437,151N,151
151N,Sem,2887441,151N,151
151N,Sem,2887492,151N,151
151N,Sem,2887644,151N,151
151N,Sem,2887657,151N,151
151N,Sem,2887705,151N,151
151N,Sem,2887937,151N,151
151N,Sem,2887944,151N,151
151N,Sem,2888022,151N,151
151N,Sem,2888168,151N,151
151N,Sem,2888256,151N,151
151N,Sem,2888272,151N,151
151N,Sem,2888350,151N,151
151N,Sem,2888373,151N,151
151N,Sem,2888825,151N,151
151N,Sem,2888847,151N,151
151N,Sem,2888936,151N,151
151N,Sem,2889075,151N,151
151N,Sem,2889167,151N,151
151N,Sem,2889384,151N,151
151N,Sem,2889427,151N,151
151N,Sem,2889463,151N,151
151N,Sem,2889675,151N,151
151N,Sem,2889744,151N,151
151N,Sem,2889965,151N,151
151N,Sem,2889976,151N,151
151N,Sem,2890190,151N,151
151N,Sem,2890216,151N,151
151N,Sem,2890220,151N,151
151N,Sem,2890287,151N,151
151N,Sem,2890358,151N,151
151N,Sem,2890362,151N,151
151N,Sem,2890399,151N,151
151N,Sem,2890429,151N,151
151N,Sem,2890466,151N,151
151N,Sem,2890543,151N,151
151N,Sem,2890729,151N,151
151N,Sem,2890793,151N,151
151N,Sem,2890825,151N,151
151N,Sem,2890922,151N,151
151N,Sem,2890926,151N,151
151N,Sem,2890983,151N,151
151N,Sem,2891068,151N,151
151N,Sem,2891186,151N,151
151N,Sem,2891216,151N,151
151S,Sem,2886749,151S,151
151S,Sem,2886775,151S,151
151S,Sem,2886890,151S,151
151S,Sem,2886894,151S,151
151S,Sem,2886932,151S,151
151S,Sem,2887052,151S,151
151S,Sem,2887078,151S,151
151S,Sem,2887381,151S,151
151S,Sem,2887385,151S,151
151S,Sem,2887415,151S,151
151S,Sem,2887438,151S,151
151S,Sem,2887518,151S,151
151S,Sem,2887693,151S,151
151S,Sem,2887938,151S,151
151S,Sem,2887945,151S,151
151S,Sem,2888019,151S,151
151S,Sem,2888165,151S,151
151S,Sem,2888267,151S,151
151S,Sem,2888273,151S,151
151S,Sem,2888351,151S,151
151S,Sem,2888370,151S,151
151S,Sem,2888374,151S,151
151S,Sem,2888529,151S,151
151S,Sem,2888553,151S,151
151S,Sem,2888687,151S,151
151S,Sem,2888848,151S,151
151S,Sem,2888937,151S,151
151S,Sem,2889056,151S,151
151S,Sem,2889285,151S,151
151S,Sem,2889385,151S,151
151S,Sem,2889656,151S,151
151S,Sem,2889676,151S,151
151S,Sem,2889874,151S,151
151S,Sem,2889962,151S,151
151S,Sem,2889966,151S,151
151S,Sem,2889973,151S,151
151S,Sem,2889977,151S,151
151S,Sem,2890187,151S,151
151S,Sem,2890191,151S,151
151S,Sem,2890213,151S,151
151S,Sem,2890217,151S,151
151S,Sem,2890359,151S,151
151S,Sem,2890365,151S,151
151S,Sem,2890384,151S,151
151S,Sem,2890463,151S,151
151S,Sem,2890730,151S,151
151S,Sem,2890826,151S,151
151S,Sem,2890923,151S,151
151S,Sem,2890927,151S,151
151S,Sem,2891118,151S,151
151S,Sem,2891128,151S,151
151S,Sem,2891171,151S,151
151S,Sem,2891183,151S,151
151S,Sem,2891212,151S,151
17N,Sem,2886741,17N,17
17N,Sem,2886918,17N,17
17N,Sem,2887040,17N,17
17N,Sem,2887147,17N,17
17N,Sem,2887187,17N,17
17N,Sem,2887204,17N,17
17N,Sem,2887359,17N,17
17N,Sem,2887408,17N,17
17N,Sem,2887410,17N,17
17N,Sem,2887462,17N,17
17N,Sem,2887532,17N,17
17N,Sem,2887534,17N,17
17N,Sem,2887542,17N,17
17N,Sem,2887918,17N,17
17N,Sem,2887968,17N,17
17N,Sem,2888108,17N,17
17N,Sem,2888361,17N,17
