route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2867523,12E,12
12E,Sem,2867634,12E,12
12E,Sem,2868356,12E,12
12E,Sem,2868380,12E,12
12E,Sem,2868609,12E,12
12E,Sem,2868641,12E,12
12E,Sem,2868816,12E,12
12E,Sem,2869194,12E,12
12E,Sem,2869223,12E,12
12E,Sem,2869407,12E,12
12E,Sem,2869632,12E,12
12E,Sem,2869652,12E,12
12E,Sem,2869935,12E,12
12E,Sem,2870419,12E,12
12E,Sem,2870507,12E,12
12E,Sem,2870666,12E,12
12E,Sem,2870716,12E,12
12E,Sem,2871018,12E,12
12E,Sem,2871214,12E,12
12E,Sem,2871220,12E,12
12E,Sem,2871788,12E,12
12E,Sem,2871956,12E,12
12O,Sem,2867524,12O,12
12O,Sem,2867635,12O,12
12O,Sem,2868357,12O,12
12O,Sem,2868381,12O,12
12O,Sem,2868610,12O,12
12O,Sem,2868642,12O,12
12O,Sem,2868817,12O,12
12O,Sem,2869195,12O,12
12O,Sem,2869224,12O,12
12O,Sem,2869408,12O,12
12O,Sem,2869633,12O,12
12O,Sem,2869653,12O,12
12O,Sem,2869936,12O,12
12O,Sem,2870420,12O,12
12O,Sem,2870508,12O,12
12O,Sem,2870667,12O,12
12O,Sem,2870717,12O,12
12O,Sem,2871019,12O,12
12O,Sem,2871215,12O,12
12O,Sem,2871221,12O,12
12O,Sem,2871789,12O,12
12O,Sem,2871957,12O,12
144E,Sem,2867397,144E,144
144E,Sem,2867401,144E,144
144E,Sem,2867593,144E,144
144E,Sem,2867618,144E,144
144E,Sem,2867629,144E,144
144E,Sem,2867832,144E,144
144E,Sem,2867974,144E,144
144E,Sem,2868209,144E,144
144E,Sem,2868213,144E,144
144E,Sem,2868294,144E,144
144E,Sem,2868606,144E,144
144E,Sem,2868852,144E,144
144E,Sem,2868877,144E,144
144E,Sem,2869010,144E,144
144E,Sem,2869070,144E,144
144E,Sem,2869303,144E,144
144E,Sem,2869496,144E,144
144E,Sem,2869836,144E,144
144E,Sem,2869845,144E,144
144E,Sem,2869929,144E,144
144E,Sem,2870100,144E,144
144E,Sem,2870196,144E,144
144E,Sem,2870322,144E,144
144E,Sem,2870328,144E,144
144E,Sem,2870642,144E,144
144E,Sem,2870755,144E,144
144E,Sem,2870759,144E,144
144E,Sem,2870819,144E,144
144E,Sem,2871135,144E,144
144E,Sem,2871139,144E,144
144E,Sem,2871250,144E,144
144E,Sem,2871500,144E,144
144E,Sem,2871543,144E,144
144E,Sem,2871547,144E,144
144E,Sem,2871658,144E,144
144E,Sem,2871980,144E,144
144E,Sem,2872037,144E,144
144E,Sem,2872041,144E,144
144O,Sem,2867400,144O,144
144O,Sem,2867496,144O,144
144O,Sem,2867531,144O,144
144O,Sem,2867617,144O,144
144O,Sem,2868069,144O,144
144O,Sem,2868156,144O,144
144O,Sem,2868212,144O,144
144O,Sem,2868216,144O,144
144O,Sem,2868229,144O,144
144O,Sem,2868375,144O,144
144O,Sem,2868605,144O,144
144O,Sem,2868702,144O,144
144O,Sem,2868963,144O,144
144O,Sem,2869009,144O,144
144O,Sem,2869073,144O,144
144O,Sem,2869619,144O,144
144O,Sem,2870008,144O,144
144O,Sem,2870202,144O,144
144O,Sem,2870352,144O,144
144O,Sem,2870400,144O,144
144O,Sem,2870442,144O,144
144O,Sem,2870574,144O,144
144O,Sem,2870614,144O,144
144O,Sem,2870758,144O,144
144O,Sem,2870818,144O,144
144O,Sem,2870822,144O,144
144O,Sem,2870907,144O,144
144O,Sem,2871138,144O,144
144O,Sem,2871142,144O,144
144O,Sem,2871253,144O,144
144O,Sem,2871539,144O,144
144O,Sem,2871542,144O,144
144O,Sem,2871546,144O,144
144O,Sem,2871657,144O,144
144O,Sem,2871684,144O,144
144O,Sem,2871730,144O,144
144O,Sem,2871967,144O,144
