trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2862735,40609,40634,41241,1,0,0
2863472,81182,81204,41241,1,0,0
2863625,27694,27723,41241,1,0,0
2863730,54487,54519,41241,1,0,0
2863756,49407,49428,41241,1,0,0
2863933,61699,61699,41241,1,0,0
2864004,33395,33417,41241,1,0,0
2864367,70412,70436,41241,1,0,0
2864396,30432,30455,41241,1,0,0
2864582,25250,25275,41241,1,0,0
2864820,59298,59328,41241,1,0,0
2865113,52053,52053,41241,1,0,0
2865519,43693,43714,41241,1,0,0
2865618,73952,73952,41241,1,0,0
2865781,56634,56634,41241,1,0,0
2865810,66743,66743,41241,1,0,0
2865849,46652,46682,41241,1,0,0
2866122,22928,22951,41241,1,0,0
2866368,77570,77595,41241,1,0,0
2866675,84789,84815,41241,1,0,0
2862736,40805,40805,45051,3,0,0
2862736,40824,40827,45050,4,0,0
2862736,40839,40842,41537,5,0,0
2862736,40853,40863,41539,6,0,0
2862736,40874,40894,46418,7,0,0
2863473,81324,81328,45053,1,0,0
2863473,81335,81341,45052,2,0,0
2863473,81348,81351,45051,3,0,0
2863473,81356,81359,45050,4,0,0
2863473,81370,81373,41537,5,0,0
2863473,81383,81392,41539,6,0,0
2863473,81404,81422,46418,7,0,0
2863485,37240,37256,45053,1,0,0
2863485,37265,37288,45052,2,0,0
2863485,37296,37300,45051,3,0,0
2863485,37305,37308,45050,4,0,0
2863485,37319,37322,41537,5,0,0
2863485,37334,37345,41539,6,0,0
2863485,37357,37382,46418,7,0,0
2863626,27904,27904,45050,4,0,0
2863626,27937,27942,41537,5,0,0
2863626,27955,27965,41539,6,0,0
2863626,27981,27986,46418,7,0,0
2863731,54669,54675,45053,1,0,0
2863731,54686,54708,45052,2,0,0
2863731,54715,54718,45051,3,0,0
2863731,54726,54744,45050,4,0,0
2863731,54758,54761,41537,5,0,0
2863731,54776,54786,41539,6,0,0
2863731,54801,54826,46418,7,0,0
2863757,49555,49577,45053,1,0,0
2863757,49585,49610,45052,2,0,0
2863757,49617,49621,45051,3,0,0
2863757,49626,49629,45050,4,0,0
2863757,49640,49643,41537,5,0,0
2863757,49655,49671,41539,6,0,0
2863757,49684,49688,46418,7,0,0
2863934,61947,61952,45053,1,0,0
2863934,61961,61971,45052,2,0,0
2863934,61979,61982,45051,3,0,0
2863934,61988,61991,45050,4,0,0
2863934,62005,62008,41537,5,0,0
2863934,62023,62039,41539,6,0,0
2863934,62053,62053,46418,7,0,0
2864005,33613,33613,45051,3,0,0
2864005,33632,33636,45050,4,0,0
2864005,33646,33649,41537,5,0,0
2864005,33661,33670,41539,6,0,0
2864005,33681,33703,46418,7,0,0
2864368,70566,70591,45053,1,0,0
2864368,70602,70613,45052,2,0,0
2864368,70622,70624,45051,3,0,0
2864368,70631,70634,45050,4,0,0
2864368,70647,70650,41537,5,0,0
2864368,70664,70675,41539,6,0,0
2864368,70687,70710,46418,7,0,0
2864397,30613,30630,45052,2,0,0
2864397,30638,30641,45051,3,0,0
2864397,30649,30666,45050,4,0,0
2864397,30680,30684,41537,5,0,0
2864397,30699,30718,41539,6,0,0
2864397,30732,30737,46418,7,0,0
2864583,25447,25447,45051,3,0,0
2864583,25466,25468,45050,4,0,0
2864583,25481,25484,41537,5,0,0
2864583,25497,25507,41539,6,0,0
2864583,25520,25520,46418,7,0,0
2864821,59483,59503,45053,1,0,0
2864821,59512,59518,45052,2,0,0
2864821,59526,59529,45051,3,0,0
2864821,59536,59552,45050,4,0,0
2864821,59565,59568,41537,5,0,0
2864821,59582,59589,41539,6,0,0
2864821,59602,59602,46418,7,0,0
2865114,52236,52253,45053,1,0,0
2865114,52262,52280,45052,2,0,0
2865114,52288,52291,45051,3,0,0
2865114,52299,52316,45050,4,0,0
2865114,52331,52334,41537,5,0,0
2865114,52350,52359,41539,6,0,0
2865114,52371,52374,46418,7,0,0
2865520,43831,43834,45053,1,0,0
2865520,43841,43864,45052,2,0,0
2865520,43875,43896,45051,3,0,0
2865520,43906,43909,45050,4,0,0
2865520,43924,43938,41537,5,0,0
2865520,43955,43964,41539,6,0,0
2865520,43976,43998,46418,7,0,0
2865619,74155,74159,45053,1,0,0
2865619,74167,74176,45052,2,0,0
2865619,74183,74187,45051,3,0,0
2865619,74193,74196,45050,4,0,0
2865619,74209,74213,41537,5,0,0
2865619,74226,74235,41539,6,0,0
2865619,74248,74248,46418,7,0,0
2865782,56832,56836,45053,1,0,0
2865782,56843,56850,45052,2,0,0
2865782,56857,56860,45051,3,0,0
2865782,56865,56868,45050,4,0,0
2865782,56880,56883,41537,5,0,0
2865782,56897,56906,41539,6,0,0
2865782,56917,56917,46418,7,0,0
2865811,66964,66974,45053,1,0,0
2865811,66979,67001,45052,2,0,0
2865811,67009,67012,45051,3,0,0
2865811,67019,67021,45050,4,0,0
2865811,67035,67038,41537,5,0,0
2865811,67052,67062,41539,6,0,0
2865811,67076,67076,46418,7,0,0
2865850,46822,46843,45053,1,0,0
2865850,46855,46864,45052,2,0,0
2865850,46872,46876,45051,3,0,0
2865850,46883,46886,45050,4,0,0
2865850,46900,46903,41537,5,0,0
2865850,46918,46931,41539,6,0,0
2865850,46942,46946,46418,7,0,0
2866123,23112,23112,45051,3,0,0
2866123,23131,23147,45050,4,0,0
2866123,23161,23164,41537,5,0,0
2866123,23179,23187,41539,6,0,0
2866123,23199,23199,46418,7,0,0
2866369,77738,77741,45053,1,0,0
2866369,77751,77770,45052,2,0,0
2866369,77779,77782,45051,3,0,0
2866369,77787,77790,45050,4,0,0
2866369,77802,77805,41537,5,0,0
2866369,77820,77839,41539,6,0,0
2866369,77851,77855,46418,7,0,0
2866676,84941,84946,45053,1,0,0
2866676,84958,84976,45052,2,0,0
2866676,84984,84987,45051,3,0,0
2866676,84992,84995,45050,4,0,0
2866676,85007,85010,41537,5,0,0
2866676,85024,85035,41539,6,0,0
2866676,85048,85051,46418,7,0,0
2862475,31279,31293,41216,1,0,0
2862475,31356,31378,41694,2,0,0
2862475,31398,31406,41698,3,0,0
2862475,31438,31461,41700,4,0,0
2862475,31480,31489,41702,5,0,0
2862475,31510,31519,41704,6,0,0
2862475,31531,31534,46272,7,0,0
2862475,31554,31570,46273,8,0,0
2862475,31591,31594,41165,9,0,0
2862475,31609,31623,41162,10,0,0
2862475,31637,31646,41160,11,0,0
2862475,31671,31688,41158,12,0,0
2862475,31704,31720,43264,13,0,0
2862475,31731,31734,41156,14,0,0
2862475,31746,31754,41204,15,0,0
2862475,31771,31790,41202,16,0,0
2862475,31806,31808,41192,17,0,0
2862475,31815,31825,41167,18,0,0
2862475,31839,31859,41200,19,0,0
2862475,31920,31955,43039,20,0,0
2862475,31981,32025,43041,21,0,0
2862475,32043,32059,43044,22,0,0
2862475,32071,32081,43046,23,0,0
2862475,32092,32119,43049,24,0,0
2862475,32135,32218,43052,25,0,0
2862475,32240,32284,43054,26,0,0
2862475,32312,32327,42076,27,0,0
2862475,32340,32343,42097,28,0,0
2862475,32357,32372,42119,29,0,0
2862475,32387,32391,42006,30,0,0
2862475,32401,32410,45046,31,0,0
2862475,32420,32434,42028,32,0,0
2862475,32459,32482,42050,33,0,0
2862475,32509,32529,42053,34,0,0
2862475,32565,32585,42056,35,0,0
2862475,32594,32600,42058,36,0,0
2862475,32623,32626,41419,37,0,0
2862475,32689,32693,41894,38,0,0
2862475,33297,33319,41896,39,0,0
2862694,58339,58348,41216,1,0,0
2862694,58410,58439,41694,2,0,0
2862694,58485,58494,41698,3,0,0
2862694,58515,58531,41700,4,0,0
2862694,58548,58556,41702,5,0,0
2862694,58574,58583,41704,6,0,0
2862694,58595,58597,46272,7,0,0
2862694,58617,58625,46273,8,0,0
2862694,58647,58662,41165,9,0,0
2862694,58676,58679,41162,10,0,0
2862694,58691,58699,41160,11,0,0
2862694,58723,58740,41158,12,0,0
2862694,58754,58757,43264,13,0,0
2862694,58767,58770,41156,14,0,0
2862694,58780,58788,41204,15,0,0
2862694,58804,58807,41202,16,0,0
2862694,58820,58823,41192,17,0,0
2862694,58829,58849,41167,18,0,0
2862694,58863,58887,41200,19,0,0
2862694,58972,59005,43039,20,0,0
2862694,59033,59061,43041,21,0,0
2862694,59082,59108,43044,22,0,0
2862694,59125,59136,43046,23,0,0
2862694,59149,59166,43049,24,0,0
2862694,59189,59209,43052,25,0,0
2862694,59235,59257,43054,26,0,0
2862694,59279,59283,42076,27,0,0
