route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2906568,12E,12
12E,Sem,2906842,12E,12
12E,Sem,2906844,12E,12
12E,Sem,2907037,12E,12
12E,Sem,2907063,12E,12
12E,Sem,2907230,12E,12
12E,Sem,2907537,12E,12
12E,Sem,2907770,12E,12
12E,Sem,2907953,12E,12
12E,Sem,2908209,12E,12
12E,Sem,2908311,12E,12
12E,Sem,2908771,12E,12
12E,Sem,2908832,12E,12
12E,Sem,2908898,12E,12
12E,Sem,2908921,12E,12
12E,Sem,2908934,12E,12
12E,Sem,2909255,12E,12
12E,Sem,2909495,12E,12
12E,Sem,2909716,12E,12
12E,Sem,2910066,12E,12
12E,Sem,2910104,12E,12
12O,Sem,2906569,12O,12
12O,Sem,2906843,12O,12
12O,Sem,2906845,12O,12
12O,Sem,2907038,12O,12
12O,Sem,2907064,12O,12
12O,Sem,2907231,12O,12
12O,Sem,2907538,12O,12
12O,Sem,2907771,12O,12
12O,Sem,2907954,12O,12
12O,Sem,2908210,12O,12
12O,Sem,2908312,12O,12
12O,Sem,2908772,12O,12
12O,Sem,2908833,12O,12
12O,Sem,2908899,12O,12
12O,Sem,2908922,12O,12
12O,Sem,2908935,12O,12
12O,Sem,2909256,12O,12
12O,Sem,2909496,12O,12
12O,Sem,2909717,12O,12
12O,Sem,2910067,12O,12
12O,Sem,2910105,12O,12
144E,Sem,2906274,144E,144
144E,Sem,2906278,144E,144
144E,Sem,2906448,144E,144
144E,Sem,2906516,144E,144
144E,Sem,2906576,144E,144
144E,Sem,2906700,144E,144
144E,Sem,2906704,144E,144
144E,Sem,2907034,144E,144
144E,Sem,2907051,144E,144
144E,Sem,2907055,144E,144
144E,Sem,2907126,144E,144
144E,Sem,2907207,144E,144
144E,Sem,2907361,144E,144
144E,Sem,2907447,144E,144
144E,Sem,2907805,144E,144
144E,Sem,2907899,144E,144
144E,Sem,2908051,144E,144
144E,Sem,2908203,144E,144
144E,Sem,2908221,144E,144
144E,Sem,2908293,144E,144
144E,Sem,2908329,144E,144
144E,Sem,2908342,144E,144
144E,Sem,2908498,144E,144
144E,Sem,2908755,144E,144
144E,Sem,2908762,144E,144
144E,Sem,2908868,144E,144
144E,Sem,2908991,144E,144
144E,Sem,2909364,144E,144
144E,Sem,2909368,144E,144
144E,Sem,2909439,144E,144
144E,Sem,2909515,144E,144
144E,Sem,2909941,144E,144
144E,Sem,2910284,144E,144
144E,Sem,2910359,144E,144
144E,Sem,2910424,144E,144
144E,Sem,2910428,144E,144
144E,Sem,2910450,144E,144
144E,Sem,2910496,144E,144
144O,Sem,2906088,144O,144
144O,Sem,2906277,144O,144
144O,Sem,2906451,144O,144
144O,Sem,2906515,144O,144
144O,Sem,2906528,144O,144
144O,Sem,2906597,144O,144
144O,Sem,2906703,144O,144
144O,Sem,2906707,144O,144
144O,Sem,2906717,144O,144
144O,Sem,2907033,144O,144
144O,Sem,2907054,144O,144
144O,Sem,2907338,144O,144
144O,Sem,2907428,144O,144
144O,Sem,2907450,144O,144
144O,Sem,2907591,144O,144
144O,Sem,2908057,144O,144
144O,Sem,2908244,144O,144
144O,Sem,2908296,144O,144
144O,Sem,2908363,144O,144
144O,Sem,2908513,144O,144
144O,Sem,2908726,144O,144
144O,Sem,2908779,144O,144
144O,Sem,2908822,144O,144
144O,Sem,2908990,144O,144
144O,Sem,2908994,144O,144
144O,Sem,2909193,144O,144
144O,Sem,2909223,144O,144
144O,Sem,2909367,144O,144
144O,Sem,2909371,144O,144
144O,Sem,2909514,144O,144
144O,Sem,2909701,144O,144
144O,Sem,2909915,144O,144
144O,Sem,2909940,144O,144
144O,Sem,2909944,144O,144
144O,Sem,2910220,144O,144
144O,Sem,2910301,144O,144
144O,Sem,2910427,144O,144
144O,Sem,2910499,144O,144
144O,Sem,2910619,144O,144
144O,Sem,2910655,144O,144
151N,Sem,2906020,151N,151
151N,Sem,2906107,151N,151
151N,Sem,2906208,151N,151
151N,Sem,2906281,151N,151
151N,Sem,2906345,151N,151
151N,Sem,2906426,151N,151
151N,Sem,2906519,151N,151
151N,Sem,2906579,151N,151
151N,Sem,2906610,151N,151
151N,Sem,2906741,151N,151
151N,Sem,2906788,151N,151
151N,Sem,2906792,151N,151
151N,Sem,2907042,151N,151
151N,Sem,2907324,151N,151
151N,Sem,2907474,151N,151
151N,Sem,2907569,151N,151
151N,Sem,2907628,151N,151
151N,Sem,2907662,151N,151
151N,Sem,2907819,151N,151
151N,Sem,2907909,151N,151
151N,Sem,2907917,151N,151
151N,Sem,2908129,151N,151
