route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2819242,12E,12
12E,Sem,2819298,12E,12
12E,Sem,2819329,12E,12
12E,Sem,2819462,12E,12
12E,Sem,2820170,12E,12
12E,Sem,2820205,12E,12
12E,Sem,2821246,12E,12
12E,Sem,2821345,12E,12
12E,Sem,2821681,12E,12
12E,Sem,2821808,12E,12
12E,Sem,2821901,12E,12
12E,Sem,2821967,12E,12
12E,Sem,2822312,12E,12
12E,Sem,2822533,12E,12
12E,Sem,2822582,12E,12
12E,Sem,2822674,12E,12
12E,Sem,2822841,12E,12
12E,Sem,2823201,12E,12
12E,Sem,2823253,12E,12
12E,Sem,2823478,12E,12
12E,Sem,2823738,12E,12
12O,Sem,2819243,12O,12
12O,Sem,2819299,12O,12
12O,Sem,2819330,12O,12
12O,Sem,2819463,12O,12
12O,Sem,2820171,12O,12
12O,Sem,2820206,12O,12
12O,Sem,2821247,12O,12
12O,Sem,2821346,12O,12
12O,Sem,2821682,12O,12
12O,Sem,2821809,12O,12
12O,Sem,2821902,12O,12
12O,Sem,2821968,12O,12
12O,Sem,2822313,12O,12
12O,Sem,2822534,12O,12
12O,Sem,2822583,12O,12
12O,Sem,2822675,12O,12
12O,Sem,2822842,12O,12
12O,Sem,2823202,12O,12
12O,Sem,2823254,12O,12
12O,Sem,2823479,12O,12
12O,Sem,2823739,12O,12
144E,Sem,2819186,144E,144
144E,Sem,2819190,144E,144
144E,Sem,2819287,144E,144
144E,Sem,2819396,144E,144
144E,Sem,2819400,144E,144
144E,Sem,2819527,144E,144
144E,Sem,2819829,144E,144
144E,Sem,2820075,144E,144
144E,Sem,2820167,144E,144
144E,Sem,2820391,144E,144
144E,Sem,2820472,144E,144
144E,Sem,2820476,144E,144
144E,Sem,2820523,144E,144
144E,Sem,2820827,144E,144
144E,Sem,2821075,144E,144
144E,Sem,2821239,144E,144
144E,Sem,2821258,144E,144
144E,Sem,2821327,144E,144
144E,Sem,2821332,144E,144
144E,Sem,2821376,144E,144
144E,Sem,2821391,144E,144
144E,Sem,2821424,144E,144
144E,Sem,2821457,144E,144
144E,Sem,2821581,144E,144
144E,Sem,2821587,144E,144
144E,Sem,2821789,144E,144
144E,Sem,2822013,144E,144
144E,Sem,2822516,144E,144
144E,Sem,2822602,144E,144
144E,Sem,2823075,144E,144
144E,Sem,2823079,144E,144
144E,Sem,2823414,144E,144
144E,Sem,2823489,144E,144
144E,Sem,2823535,144E,144
144E,Sem,2823608,144E,144
144E,Sem,2823612,144E,144
144E,Sem,2823695,144E,144
144E,Sem,2823729,144E,144
144O,Sem,2819189,144O,144
144O,Sem,2819212,144O,144
144O,Sem,2819286,144O,144
144O,Sem,2819399,144O,144
144O,Sem,2819568,144O,144
144O,Sem,2819672,144O,144
144O,Sem,2819736,144O,144
144O,Sem,2819781,144O,144
144O,Sem,2819828,144O,144
144O,Sem,2819832,144O,144
144O,Sem,2820166,144O,144
144O,Sem,2820475,144O,144
144O,Sem,2820503,144O,144
144O,Sem,2820526,144O,144
144O,Sem,2820826,144O,144
144O,Sem,2820840,144O,144
144O,Sem,2821006,144O,144
144O,Sem,2821132,144O,144
144O,Sem,2821279,144O,144
144O,Sem,2821330,144O,144
144O,Sem,2821463,144O,144
144O,Sem,2821596,144O,144
144O,Sem,2821631,144O,144
