trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,planned_arrival_time,planned_departure_time_from_origin
2799905,16301,16309,41033,1,0,0,0.284,16291,16260
2799905,16318,16324,42572,2,0,0,0.406,16305,16260
2799905,16342,16347,46623,3,0,0,0.643,16331,16260
2799905,16362,16365,46507,4,0,0,0.85,16353,16260
2799905,16388,16388,42570,5,0,0,1.074,16378,16260
2799905,16408,16408,46398,6,0,0,1.257,16398,16260
2799905,16429,16429,43163,7,0,0,1.447,16419,16260
2799905,16443,16448,43171,8,0,0,1.624,16438,16260
2799905,16483,16490,43169,9,0,0,2.086,16489,16260
2799905,16497,16500,43167,10,0,0,2.197,16501,16260
2799905,16513,16524,43165,11,0,0,2.392,16522,16260
2799905,16545,16548,41117,12,0,0,2.731,16559,16260
2799905,16559,16563,41115,13,0,0,2.879,16576,16260
2799905,16587,16595,41113,14,0,0,3.14,16604,16260
2799905,16609,16617,41209,15,0,0,3.313,16623,16260
2799905,16638,16641,41082,16,0,0,3.577,16652,16260
2799905,16682,16687,41883,17,0,0,3.952,16693,16260
2799905,16717,16735,41881,18,0,0,4.342,16736,16260
2799905,16749,16752,41879,19,0,0,4.53,16757,16260
2799905,16768,16824,41877,20,0,0,4.735,16779,16260
2799905,16836,16839,41874,21,0,0,4.894,16797,16260
2799905,16852,16855,41872,22,0,0,5.085,16818,16260
2799905,16874,16877,41870,23,0,0,5.365,16848,16260
2799905,16884,16902,41868,24,0,0,5.472,16860,16260
2799905,16923,16926,41866,25,0,0,5.744,16891,16260
2799905,16945,16948,41863,26,0,0,6.007,16921,16260
2799905,16977,16979,41861,27,0,0,6.422,16968,16260
2799905,16991,16994,41859,28,0,0,6.624,16992,16260
2799905,17010,17013,41857,29,0,0,6.881,17021,16260
2799905,17032,17035,41855,30,0,0,7.177,17055,16260
2799905,17055,17081,41853,31,0,0,7.475,17089,16260
2799905,17107,17110,41851,32,0,0,7.818,17128,16260
2799905,17130,17146,41850,33,0,0,8.079,17158,16260
2799905,17176,17180,41847,34,0,0,8.5,17206,16260
2799905,17191,17208,41845,35,0,0,8.66,17224,16260
2799905,17227,17230,41843,36,0,0,8.94,17256,16260
2799905,17244,17260,41835,37,0,0,9.15,17280,16260
2799905,17285,17289,41838,38,0,0,9.5,17323,16260
2799905,17302,17321,41836,39,0,0,9.692,17347,16260
2799905,17332,17335,41840,40,0,0,9.846,17366,16260
2799905,17355,17358,41832,41,0,0,10.141,17402,16260
2799905,17366,17384,41830,42,0,0,10.257,17416,16260
2799905,17483,17486,41827,43,0,0,10.9,17495,16260
2799905,17504,17525,41825,44,0,0,11.144,17525,16260
2799905,17543,17546,41823,45,0,0,11.4,17557,16260
2799905,17560,17563,41821,46,0,0,11.617,17584,16260
2799905,17575,17578,41819,47,0,0,11.842,17611,16260
2799905,17596,17612,41815,48,0,0,12.076,17640,16260
2799905,17627,17630,41816,49,0,0,12.326,17667,16260
2799905,17643,17646,41812,50,0,0,12.561,17692,16260
2799905,17660,17663,41810,51,0,0,12.789,17717,16260
2799905,17684,17686,41808,52,0,0,13.089,17749,16260
2799905,17698,17747,41806,53,0,0,13.24,17766,16260
2799905,17770,17794,41803,54,0,0,13.52,17796,16260
2799905,17812,17821,41801,55,0,0,13.745,17820,16260
2799905,17842,17859,41799,56,0,0,13.988,17856,16260
2799905,17881,17897,41797,57,0,0,14.26,17896,16260
2799905,17916,17925,41795,58,0,0,14.498,17931,16260
2799905,17944,17947,41876,59,0,0,14.781,17973,16260
2799905,17962,17967,46423,60,0,0,15.009,18006,16260
2801567,16410,16414,41545,1,0,0,0.159,16403,16380
2801567,16429,16439,41543,2,0,0,0.365,16433,16380
2801567,16454,16463,41553,3,0,0,0.553,16461,16380
2801567,16475,16479,41551,4,0,0,0.715,16484,16380
2801567,16489,16498,41549,5,0,0,0.858,16505,16380
2801567,16508,16517,41547,6,0,0,0.998,16525,16380
2801567,16533,16537,43009,7,0,0,1.191,16554,16380
2801567,16555,16564,43007,8,0,0,1.414,16586,16380
2801567,16595,16613,43003,9,0,0,1.754,16636,16380
2801567,16638,16648,43001,10,0,0,2.035,16676,16380
2801567,16672,16682,43000,11,0,0,2.245,16707,16380
2801567,16688,16693,42996,12,0,0,2.347,16722,16380
2801567,16702,16706,46318,13,0,0,2.471,16740,16380
2801567,16725,16729,46275,14,0,0,2.707,16766,16380
2801567,16759,16763,46276,15,0,0,3.084,16808,16380
2801567,16811,16815,46316,16,0,0,3.478,16851,16380
2801567,16844,16847,41459,17,0,0,3.857,16893,16380
2801567,16871,16875,41457,18,0,0,4.174,16928,16380
2801567,16902,16906,46619,19,0,0,4.381,16951,16380
2801567,16930,16951,41455,20,0,0,4.644,16980,16380
2801567,16971,16975,46309,21,0,0,4.913,17013,16380
2801567,17030,17034,41453,22,0,0,5.604,17098,16380
2801567,17059,17063,43389,23,0,0,5.934,17139,16380
2801567,17075,17078,41451,24,0,0,6.105,17160,16380
2801567,17093,17097,41449,25,0,0,6.313,17180,16380
2801567,17126,17144,41447,26,0,0,6.666,17214,16380
2801567,17181,17184,46505,27,0,0,7.139,17259,16380
2801567,17202,17206,41445,28,0,0,7.358,17280,16380
2801567,17212,17215,46592,29,0,0,7.475,17294,16380
2801567,17228,17231,41443,30,0,0,7.666,17318,16380
2801567,17294,17299,41440,31,0,0,8.455,17414,16380
2801567,17357,17361,41438,32,0,0,8.936,17472,16380
2801567,17373,17377,41436,33,0,0,9.116,17494,16380
2801567,17390,17394,41434,34,0,0,9.312,17518,16380
2801567,17411,17416,41432,35,0,0,9.541,17546,16380
2801567,17428,17431,41429,36,0,0,9.74,17570,16380
2801567,17438,17442,41427,37,0,0,9.856,17585,16380
2801567,17463,17480,41423,38,0,0,10.114,17616,16380
2801567,17496,17557,41425,39,0,0,10.31,17640,16380
2801567,17588,17591,41422,40,0,0,10.687,17683,16380
2801567,17603,17627,41420,41,0,0,10.862,17703,16380
2801567,17650,17662,41418,42,0,0,11.135,17734,16380
2801567,17682,17689,41415,43,0,0,11.368,17760,16380
2801567,17745,17761,41413,44,0,0,11.779,17821,16380
2801567,17771,17774,41411,45,0,0,11.918,17842,16380
2801567,17812,17816,41409,46,0,0,12.281,17896,16380
2801567,17840,17854,41462,47,0,0,12.564,17938,16380
2801567,17873,17878,41460,48,0,0,12.803,17974,16380
2801567,17922,17937,41442,49,0,0,12.977,18000,16380
2801567,17961,17964,41419,50,0,0,13.353,18036,16380
2801567,18031,18035,41894,51,0,0,14.125,18110,16380
2801567,18203,18206,41896,52,0,0,15.493,18240,16380
2802457,16414,16426,41273,1,0,0,0.172,16407,16380
2802457,16435,16438,42445,2,0,0,0.302,16428,16380
2802457,16448,16459,42446,3,0,0,0.438,16449,16380
2802457,16468,16471,42013,4,0,0,0.567,16470,16380
2802457,16506,16524,42448,5,0,0,0.902,16523,16380
2802457,16540,16543,42460,6,0,0,1.108,16555,16380
2802457,16566,16582,42458,7,0,0,1.322,16589,16380
2802457,16597,16616,42456,8,0,0,1.517,16620,16380
2802457,16627,16642,42453,9,0,0,1.681,16646,16380
2802457,16654,16668,42449,10,0,0,1.832,16670,16380
2802457,16688,16704,45059,11,0,0,2.103,16712,16380
2802457,16722,16738,42450,12,0,0,2.312,16745,16380
2802457,16755,16775,45061,13,0,0,2.517,16778,16380
2802457,16785,16802,45062,14,0,0,2.79,16821,16380
2802457,16847,16854,42182,15,0,0,3.085,16868,16380
2802457,16877,16887,42183,16,0,0,3.28,16898,16380
2802457,16897,16912,42185,17,0,0,3.399,16917,16380
2802457,16926,16938,42177,18,0,0,3.566,16944,16380
2802457,16951,16963,42175,19,0,0,3.72,16968,16380
2802457,16985,16996,42410,20,0,0,3.95,17004,16380
2802457,17016,17034,42419,21,0,0,4.174,17040,16380
2802457,17047,17065,42417,22,0,0,4.331,17064,16380
2802457,17083,17083,42415,23,0,0,4.556,17100,16380
2802457,17109,17109,42413,24,0,0,4.779,17126,16380
2802457,17132,17132,42011,25,0,0,4.982,17149,16380
2802457,17158,17158,42009,26,0,0,5.206,17175,16380
2802457,17210,17221,42007,27,0,0,5.383,17195,16380
2802457,17246,17261,42004,28,0,0,5.829,17247,16380
