route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sam,2852931,12E,12
12E,Sam,2853092,12E,12
12E,Sam,2853153,12E,12
12E,Sam,2853327,12E,12
12E,Sam,2853486,12E,12
12E,Sam,2853520,12E,12
12E,Sam,2853561,12E,12
12E,Sam,2853646,12E,12
12E,Sam,2853745,12E,12
12E,Sam,2853761,12E,12
12E,Sam,2853799,12E,12
12E,Sam,2853819,12E,12
12E,Sam,2854119,12E,12
12E,Sam,2854310,12E,12
12E,Sam,2854395,12E,12
12E,Sam,2854511,12E,12
12E,Sam,2855258,12E,12
12O,Sam,2852932,12O,12
12O,Sam,2853093,12O,12
12O,Sam,2853154,12O,12
12O,Sam,2853328,12O,12
12O,Sam,2853487,12O,12
12O,Sam,2853521,12O,12
12O,Sam,2853562,12O,12
12O,Sam,2853647,12O,12
12O,Sam,2853746,12O,12
12O,Sam,2853762,12O,12
12O,Sam,2853800,12O,12
12O,Sam,2853820,12O,12
12O,Sam,2854120,12O,12
12O,Sam,2854311,12O,12
12O,Sam,2854396,12O,12
12O,Sam,2854512,12O,12
12O,Sam,2855259,12O,12
144E,Sam,2852890,144E,144
144E,Sam,2852915,144E,144
144E,Sam,2853030,144E,144
144E,Sam,2853180,144E,144
144E,Sam,2853186,144E,144
144E,Sam,2853240,144E,144
144E,Sam,2853582,144E,144
144E,Sam,2853654,144E,144
144E,Sam,2853806,144E,144
144E,Sam,2853903,144E,144
144E,Sam,2853907,144E,144
144E,Sam,2853926,144E,144
144E,Sam,2853980,144E,144
144E,Sam,2853984,144E,144
144E,Sam,2853992,144E,144
144E,Sam,2854007,144E,144
144E,Sam,2854179,144E,144
144E,Sam,2854210,144E,144
144E,Sam,2854447,144E,144
144E,Sam,2854651,144E,144
144E,Sam,2854753,144E,144
144E,Sam,2854824,144E,144
144E,Sam,2854831,144E,144
144E,Sam,2854835,144E,144
144E,Sam,2855020,144E,144
144O,Sam,2852893,144O,144
144O,Sam,2853033,144O,144
144O,Sam,2853183,144O,144
144O,Sam,2853189,144O,144
144O,Sam,2853657,144O,144
144O,Sam,2853809,144O,144
144O,Sam,2853906,144O,144
144O,Sam,2853910,144O,144
144O,Sam,2853918,144O,144
144O,Sam,2853925,144O,144
144O,Sam,2853929,144O,144
144O,Sam,2853983,144O,144
144O,Sam,2853987,144O,144
144O,Sam,2853995,144O,144
144O,Sam,2854010,144O,144
144O,Sam,2854182,144O,144
144O,Sam,2854213,144O,144
144O,Sam,2854666,144O,144
144O,Sam,2854747,144O,144
144O,Sam,2854756,144O,144
144O,Sam,2854827,144O,144
144O,Sam,2854834,144O,144
144O,Sam,2854838,144O,144
151N,Sam,2852918,151N,151
151N,Sam,2852983,151N,151
