stop_id,arrival_time,departure_time,min_departure_time,cumulative_distance,planned_arrival_time,planned_departure_time_from_origin,nb_to_board,nb_to_alight,skip_stop,speedup,boarded_passengers_ids,passengers_to_board_ids,boarding_passenger_ids,alighting_passenger_ids,alighting_passengers_ids
43927,54441,54465,,21.471,54554,51540,1,0,0,0,[],[],[],[],[]
43928,54474,54477,,21.599,54573,51540,1,1,0,0,[],[],[],[],[]
43296,54555,54561,,21.763,54597,51540,1,1,0,0,[],[],[],[],[]
46470,54597,54611,,22.023,54636,51540,1,1,0,0,[],[],[],[],[]
44170,54658,54749,,22.582,54720,51540,1,1,0,0,[],[],[],[],[]
43385,54790,54790,,22.782,54761,51540,1,1,0,0,[],[],[],[],[]
43386,54826,54826,,22.976,54801,51540,1,1,0,0,[],[],[],[],[]
46531,54866,54866,,23.168,54841,51540,1,2,0,0,[],[],[],[],[]
43979,54867,54867,,23.402,54889,51540,1,2,0,0,[],[],[],[],[]
43387,54884,54889,,23.619,54934,51540,1,1,0,0,[],[],[],[],[]
