stop_id,arrival_time,departure_time,min_departure_time,cumulative_distance,planned_arrival_time,planned_departure_time_from_origin,nb_to_board,nb_to_alight,skip_stop,speedup,boarded_passengers_ids,passengers_to_board_ids,boarding_passenger_ids,alighting_passenger_ids,alighting_passengers_ids
42257,62445,62454,,10.771,62495,60300,0,0,0,0,[],[],[],[],[]
41644,62470,62474,,10.995,62538,60300,0,0,0,0,[],[],[],[],[]
42783,62514,62559,,11.281,62593,60300,0,0,0,0,[],[],[],[],[]
42781,62632,62635,,11.703,62674,60300,0,0,0,0,[],[],[],[],[]
42780,62645,62660,,11.856,62703,60300,1,1,0,0,[],['D77F8212B97DD792BF4C781A3EF8059A28250EB4_19832'],[],['5B3F739F26A96539B9FAF40CE20892FACA27E570_8488'],[]
42778,62713,62731,,12.047,62740,60300,0,0,0,0,[],[],[],[],[]
42774,62809,62842,,12.464,62820,60300,0,0,0,0,[],[],[],[],[]
42772,62859,62878,,12.697,62860,60300,0,0,0,0,[],[],[],[],[]
42770,62899,62908,,12.991,62910,60300,0,2,0,0,[],[],[],"['5260F49703F5D1191F78564C0C73EF149C1524BB_7714', 'EFB47E0579FF7662CDC5262D0C014EA553FD327D_22036']",[]
42768,62925,62944,,13.239,62952,60300,0,0,0,0,[],[],[],[],[]
42766,62958,63030,,13.43,62985,60300,0,0,0,0,[],[],[],[],[]
42788,63064,63079,,13.869,63060,60300,0,0,0,0,[],[],[],[],[]
42786,63099,63104,,14.13,63097,60300,0,0,0,0,[],[],[],[],[]
42776,63114,63124,,14.266,63116,60300,0,0,0,0,[],[],[],[],[]
42470,63142,63156,,14.509,63151,60300,0,0,0,0,[],[],[],[],[]
42468,63166,63169,,14.665,63173,60300,0,0,0,0,[],[],[],[],[]
42466,63180,63193,,14.832,63196,60300,0,0,0,0,[],[],[],[],[]
42478,63206,63213,,14.999,63220,60300,0,0,0,0,[],[],[],[],[]
42476,63231,63250,,15.245,63255,60300,0,0,0,0,[],[],[],[],[]
42474,63268,63276,,15.491,63290,60300,0,0,0,0,[],[],[],[],[]
42472,63293,63318,,15.711,63321,60300,0,0,0,0,[],[],[],[],[]
42425,63337,63340,,15.948,63355,60300,0,0,0,0,[],[],[],[],[]
42423,63353,63361,,16.13,63380,60300,0,0,0,0,[],[],[],[],[]
42421,63371,63374,,16.276,63401,60300,0,0,0,0,[],[],[],[],[]
41757,63404,63407,,16.609,63448,60300,0,0,0,0,[],[],[],[],[]
41755,63416,63437,,16.753,63469,60300,0,0,0,0,[],[],[],[],[]
42722,63461,63469,,17.047,63510,60300,0,0,0,0,[],[],[],[],[]
42720,63485,63498,,17.256,63540,60300,0,0,0,0,[],[],[],[],[]
42716,63513,63522,,17.452,63556,60300,0,0,0,0,[],[],[],[],[]
46260,63774,63790,,20.997,63840,60300,0,0,0,0,[],[],[],[],[]
46261,63820,63828,,21.411,63900,60300,0,0,0,0,[],[],[],[],[]
42523,63859,63878,,21.795,63955,60300,0,0,0,0,[],[],[],[],[]
42525,63901,63920,,22.055,63992,60300,0,0,0,0,[],[],[],[],[]
42527,63928,63937,,22.166,64008,60300,0,0,0,0,[],[],[],[],[]
42529,63948,63952,,22.337,64033,60300,0,0,0,0,[],[],[],[],[]
42518,63964,63967,,22.528,64060,60300,0,0,0,0,[],[],[],[],[]
42520,63983,64069,,22.757,64093,60300,0,0,0,0,[],[],[],[],[]
41354,64083,64099,,22.911,64115,60300,0,1,0,0,[],[],[],['D77F8212B97DD792BF4C781A3EF8059A28250EB4_19832'],[]
41352,64109,64123,,23.038,64133,60300,0,0,0,0,[],[],[],[],[]
41349,64141,64160,,23.281,64168,60300,0,0,0,0,[],[],[],[],[]
41347,64190,64193,,23.533,64205,60300,0,0,0,0,[],[],[],[],[]
41345,64205,64208,,23.742,64235,60300,0,0,0,0,[],[],[],[],[]
41343,64217,64220,,23.918,64260,60300,0,0,0,0,[],[],[],[],[]
41799,64333,64336,,24.251,64327,60300,0,0,0,0,[],[],[],[],[]
41797,64355,64366,,24.523,64383,60300,0,0,0,0,[],[],[],[],[]
41795,64400,64406,,24.761,64431,60300,0,0,0,0,[],[],[],[],[]
41876,64442,64447,,25.044,64488,60300,0,0,0,0,[],[],[],[],[]
