stop_id,arrival_time,departure_time,min_departure_time,cumulative_distance,planned_arrival_time,planned_departure_time_from_origin,nb_to_board,nb_to_alight,skip_stop,speedup,boarded_passengers_ids,passengers_to_board_ids,boarding_passenger_ids,alighting_passenger_ids,alighting_passengers_ids
43380,53373,53378,,2.55,53227,52680,0,0,0,0,[],[],[],[],[]
43381,53392,53396,,2.719,53258,52680,0,0,0,0,[],[],[],[],[]
43980,53413,53420,,2.88,53287,52680,0,0,0,0,[],[],[],[],[]
46530,53442,53446,,3.083,53324,52680,0,0,0,0,[],[],[],[],[]
43382,53475,53479,,3.285,53360,52680,0,0,0,0,[],[],[],[],[]
43383,53493,53503,,3.513,53402,52680,0,0,0,0,[],[],[],[],[]
44070,53535,53583,,3.834,53460,52680,0,0,0,0,[],[],[],[],[]
43295,53678,53693,,4.332,53541,52680,0,0,0,0,[],[],[],[],[]
43929,53729,53746,,4.695,53599,52680,0,0,0,0,[],[],[],[],[]
43930,53761,53766,,4.889,53631,52680,0,0,0,0,[],[],[],[],[]
43931,53773,53776,,5.011,53651,52680,0,0,0,0,[],[],[],[],[]
43932,53849,53854,,5.443,53721,52680,0,0,0,0,[],[],[],[],[]
41296,53943,53947,,6.276,53855,52680,0,0,0,0,[],[],[],[],[]
46332,53983,54005,,6.464,53886,52680,0,0,0,0,[],[],[],[],[]
46411,54018,54022,,6.637,53914,52680,0,0,0,0,[],[],[],[],[]
43933,54030,54033,,6.773,53936,52680,0,0,0,0,[],[],[],[],[]
43934,54060,54094,,6.955,53965,52680,0,0,0,0,[],[],[],[],[]
46501,54121,54126,,7.314,54024,52680,0,0,0,0,[],[],[],[],[]
46502,54159,54175,,7.706,54087,52680,0,0,0,0,[],[],[],[],[]
43935,54204,54231,,8.064,54145,52680,0,0,0,0,[],[],[],[],[]
43936,54263,54265,,8.573,54227,52680,0,0,0,0,[],[],[],[],[]
43938,54274,54291,,8.736,54254,52680,0,0,0,0,[],[],[],[],[]
41946,54379,54383,,9.021,54300,52680,0,0,0,0,[],[],[],[],[]
41948,54469,54472,,9.193,54327,52680,0,0,0,0,[],[],[],[],[]
46601,54496,54501,,9.426,54364,52680,0,0,0,0,[],[],[],[],[]
42246,54516,54519,,9.634,54396,52680,0,0,0,0,[],[],[],[],[]
42252,54530,54533,,9.844,54429,52680,0,0,0,0,[],[],[],[],[]
42250,54545,54548,,10.057,54462,52680,0,0,0,0,[],[],[],[],[]
42253,54568,54576,,10.277,54497,52680,0,0,0,0,[],[],[],[],[]
42255,54599,54617,,10.576,54544,52680,0,0,0,0,[],[],[],[],[]
42257,54635,54656,,10.771,54574,52680,0,0,0,0,[],[],[],[],[]
41644,54673,54676,,10.995,54610,52680,0,0,0,0,[],[],[],[],[]
42783,54707,54709,,11.281,54654,52680,0,0,0,0,[],[],[],[],[]
42781,54744,54747,,11.703,54721,52680,0,0,0,0,[],[],[],[],[]
42780,54759,54777,,11.856,54745,52680,0,0,0,0,[],[],[],[],[]
42778,54795,54802,,12.047,54775,52680,0,0,0,0,[],[],[],[],[]
42774,54836,54917,,12.464,54840,52680,0,0,0,0,[],[],[],[],[]
42772,54932,54951,,12.697,54870,52680,0,0,0,0,[],[],[],[],[]
42770,54977,54992,,12.991,54908,52680,0,0,0,0,[],[],[],[],[]
42768,55010,55013,,13.239,54939,52680,0,0,0,0,[],[],[],[],[]
42766,55032,55079,,13.43,54964,52680,0,0,0,0,[],[],[],[],[]
42788,55111,55127,,13.869,55020,52680,0,0,0,0,[],[],[],[],[]
42786,55144,55148,,14.13,55062,52680,0,0,0,0,[],[],[],[],[]
42776,55157,55164,,14.266,55083,52680,0,0,0,0,[],[],[],[],[]
42470,55181,55189,,14.509,55122,52680,0,0,0,0,[],[],[],[],[]
42468,55199,55214,,14.665,55147,52680,0,0,0,0,[],[],[],[],[]
42466,55223,55237,,14.832,55174,52680,0,0,0,0,[],[],[],[],[]
42478,55255,55268,,14.999,55200,52680,0,0,0,0,[],[],[],[],[]
42476,55286,55296,,15.245,55239,52680,0,0,0,0,[],[],[],[],[]
42474,55313,55327,,15.491,55279,52680,0,0,0,0,[],[],[],[],[]
42472,55344,55365,,15.711,55314,52680,0,0,0,0,[],[],[],[],[]
42425,55366,55369,,15.948,55351,52680,0,0,0,0,[],[],[],[],[]
42423,55383,55390,,16.13,55380,52680,0,0,0,0,[],[],[],[],[]
42421,55399,55402,,16.276,55404,52680,0,0,0,0,[],[],[],[],[]
41757,55436,55440,,16.609,55457,52680,0,0,0,0,[],[],[],[],[]
41755,55450,55473,,16.753,55480,52680,0,0,0,0,[],[],[],[],[]
42722,55554,55563,,17.047,55527,52680,0,0,0,0,[],[],[],[],[]
42720,55579,55604,,17.256,55560,52680,0,0,0,0,[],[],[],[],[]
42716,55619,55632,,17.452,55576,52680,0,0,0,0,[],[],[],[],[]
