stop_id,arrival_time,departure_time,min_departure_time,cumulative_distance,planned_arrival_time,planned_departure_time_from_origin,nb_to_board,nb_to_alight,skip_stop,speedup,boarded_passengers_ids,passengers_to_board_ids,boarding_passenger_ids,alighting_passenger_ids,alighting_passengers_ids
42775,59100,59118,,13.937,59126,57000,1,0,0,0,[],['CCCFB899672E740B9A0A0A354800F7A29DFC7D34_18877'],[],[],[]
42777,59136,59155,,14.195,59165,57000,0,1,0,0,[],[],[],['0A30D5DD2D6A55759C2A28711D8F3EAD361237B4_834'],[]
42779,59169,59177,,14.392,59194,57000,0,0,0,0,[],[],[],[],[]
43162,59190,59193,,14.606,59226,57000,0,0,0,0,[],[],[],[],[]
42782,59226,59244,,14.978,59282,57000,0,0,0,0,[],[],[],[],[]
42784,59258,59269,,15.167,59310,57000,0,0,0,0,[],[],[],[],[]
42251,59300,59314,,15.532,59365,57000,0,0,0,0,[],[],[],[],[]
42254,59326,59329,,15.726,59394,57000,0,0,0,0,[],[],[],[],[]
42256,59341,59347,,15.913,59422,57000,0,0,0,0,[],[],[],[],[]
42258,59368,59371,,16.196,59464,57000,0,0,0,0,[],[],[],[],[]
42247,59384,59386,,16.401,59495,57000,0,0,0,0,[],[],[],[],[]
42248,59396,59398,,16.575,59521,57000,0,0,0,0,[],[],[],[],[]
42249,59413,59430,,16.792,59554,57000,0,1,0,0,[],[],[],['CCCFB899672E740B9A0A0A354800F7A29DFC7D34_18877'],[]
41961,59485,59488,,16.95,59577,57000,1,0,0,0,[],['0F4E87FC5D7EE806B6646B31D0968B8CA0C46C7C_1307'],[],[],[]
41954,59499,59501,,17.129,59604,57000,0,0,0,0,[],[],[],[],[]
