stop_id,arrival_time,departure_time,min_departure_time,cumulative_distance,planned_arrival_time,planned_departure_time_from_origin,nb_to_board,nb_to_alight,skip_stop,speedup,boarded_passengers_ids,passengers_to_board_ids,boarding_passenger_ids,alighting_passenger_ids,alighting_passengers_ids
42773,60950,61007,,13.764,60960,58860,0,1,0,0,[],[],[],['074413F7EF3F0BFB80EB3E13AD99785FF1CFDFC5_596'],[]
42775,61021,61024,,13.937,60989,58860,0,0,0,0,[],[],[],[],[]
42777,61042,61052,,14.195,61032,58860,0,0,0,0,[],[],[],[],[]
42779,61066,61076,,14.392,61065,58860,0,0,0,0,[],[],[],[],[]
43162,61091,61094,,14.606,61100,58860,0,0,0,0,[],[],[],[],[]
42782,61130,61147,,14.978,61162,58860,0,0,0,0,[],[],[],[],[]
42784,61162,61171,,15.167,61194,58860,0,0,0,0,[],[],[],[],[]
42251,61207,61211,,15.532,61254,58860,0,0,0,0,[],[],[],[],[]
42254,61224,61226,,15.726,61287,58860,0,0,0,0,[],[],[],[],[]
42256,61246,61268,,15.913,61318,58860,0,0,0,0,[],[],[],[],[]
42258,61291,61317,,16.196,61365,58860,0,0,0,0,[],[],[],[],[]
42247,61332,61335,,16.401,61399,58860,0,0,0,0,[],[],[],[],[]
42248,61345,61347,,16.575,61428,58860,0,0,0,0,[],[],[],[],[]
42249,61362,61366,,16.792,61464,58860,0,1,0,0,[],[],[],['ABB91B04815C1CBBDBADBF15FD54A584E85911CE_15951'],[]
41961,61388,61430,,16.95,61490,58860,0,0,0,0,[],[],[],[],[]
