route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sam,2910778,12E,12
12E,Sam,2910903,12E,12
12E,Sam,2910914,12E,12
12E,Sam,2910943,12E,12
12E,Sam,2911000,12E,12
12E,Sam,2911198,12E,12
12E,Sam,2911364,12E,12
12E,Sam,2911399,12E,12
12E,Sam,2911460,12E,12
12E,Sam,2911535,12E,12
12E,Sam,2911572,12E,12
12E,Sam,2911697,12E,12
12E,Sam,2912013,12E,12
12E,Sam,2912215,12E,12
12E,Sam,2912323,12E,12
12E,Sam,2912337,12E,12
12E,Sam,2912583,12E,12
12O,Sam,2910779,12O,12
12O,Sam,2910904,12O,12
12O,Sam,2910915,12O,12
12O,Sam,2910944,12O,12
12O,Sam,2911001,12O,12
12O,Sam,2911199,12O,12
12O,Sam,2911365,12O,12
12O,Sam,2911400,12O,12
12O,Sam,2911461,12O,12
12O,Sam,2911536,12O,12
12O,Sam,2911573,12O,12
12O,Sam,2911698,12O,12
12O,Sam,2912014,12O,12
12O,Sam,2912216,12O,12
12O,Sam,2912324,12O,12
12O,Sam,2912338,12O,12
12O,Sam,2912584,12O,12
144E,Sam,2910747,144E,144
144E,Sam,2911085,144E,144
144E,Sam,2911412,144E,144
144E,Sam,2911416,144E,144
144E,Sam,2911469,144E,144
144E,Sam,2911822,144E,144
144E,Sam,2911865,144E,144
144E,Sam,2911869,144E,144
144E,Sam,2911877,144E,144
144E,Sam,2911892,144E,144
144E,Sam,2912000,144E,144
144E,Sam,2912046,144E,144
144E,Sam,2912065,144E,144
144E,Sam,2912106,144E,144
144E,Sam,2912202,144E,144
144E,Sam,2912220,144E,144
144E,Sam,2912366,144E,144
144E,Sam,2912728,144E,144
144E,Sam,2912735,144E,144
144E,Sam,2912739,144E,144
144E,Sam,2913042,144E,144
144E,Sam,2913076,144E,144
144E,Sam,2913080,144E,144
144E,Sam,2913084,144E,144
144E,Sam,2913120,144E,144
144O,Sam,2910954,144O,144
144O,Sam,2911415,144O,144
144O,Sam,2911419,144O,144
144O,Sam,2911436,144O,144
144O,Sam,2911814,144O,144
144O,Sam,2911821,144O,144
144O,Sam,2911825,144O,144
144O,Sam,2911868,144O,144
144O,Sam,2911872,144O,144
144O,Sam,2911880,144O,144
144O,Sam,2911895,144O,144
144O,Sam,2912049,144O,144
144O,Sam,2912109,144O,144
144O,Sam,2912205,144O,144
144O,Sam,2912223,144O,144
144O,Sam,2912256,144O,144
144O,Sam,2912597,144O,144
144O,Sam,2912665,144O,144
144O,Sam,2912731,144O,144
144O,Sam,2912738,144O,144
144O,Sam,2912742,144O,144
144O,Sam,2913045,144O,144
144O,Sam,2913079,144O,144
144O,Sam,2913083,144O,144
144O,Sam,2913123,144O,144
151N,Sam,2910824,151N,151
151N,Sam,2910828,151N,151
151N,Sam,2910950,151N,151
151N,Sam,2911106,151N,151
151N,Sam,2911110,151N,151
151N,Sam,2911114,151N,151
151N,Sam,2911784,151N,151
151N,Sam,2911788,151N,151
151N,Sam,2911817,151N,151
151N,Sam,2911836,151N,151
151N,Sam,2911840,151N,151
151N,Sam,2912068,151N,151
151N,Sam,2912208,151N,151
151N,Sam,2912239,151N,151
151N,Sam,2912243,151N,151
151N,Sam,2912369,151N,151
151N,Sam,2912373,151N,151
151N,Sam,2912593,151N,151
151N,Sam,2912652,151N,151
151N,Sam,2912709,151N,151
151N,Sam,2912765,151N,151
151N,Sam,2912769,151N,151
151N,Sam,2912851,151N,151
151N,Sam,2912855,151N,151
151N,Sam,2912962,151N,151
151N,Sam,2912971,151N,151
151N,Sam,2912975,151N,151
151N,Sam,2913112,151N,151
151N,Sam,2913116,151N,151
151S,Sam,2910825,151S,151
151S,Sam,2910951,151S,151
151S,Sam,2911107,151S,151
151S,Sam,2911111,151S,151
151S,Sam,2911781,151S,151
151S,Sam,2911785,151S,151
151S,Sam,2911789,151S,151
151S,Sam,2911818,151S,151
151S,Sam,2911833,151S,151
151S,Sam,2911837,151S,151
151S,Sam,2912069,151S,151
151S,Sam,2912240,151S,151
151S,Sam,2912244,151S,151
151S,Sam,2912370,151S,151
151S,Sam,2912594,151S,151
151S,Sam,2912706,151S,151
151S,Sam,2912710,151S,151
151S,Sam,2912762,151S,151
151S,Sam,2912766,151S,151
151S,Sam,2912852,151S,151
151S,Sam,2912959,151S,151
151S,Sam,2912963,151S,151
151S,Sam,2912972,151S,151
151S,Sam,2912976,151S,151
151S,Sam,2913113,151S,151
17N,Sam,2910835,17N,17
17N,Sam,2910860,17N,17
17N,Sam,2910921,17N,17
17N,Sam,2911002,17N,17
17N,Sam,2911039,17N,17
17N,Sam,2911140,17N,17
17N,Sam,2911186,17N,17
17N,Sam,2911289,17N,17
17N,Sam,2911325,17N,17
17N,Sam,2911382,17N,17
17N,Sam,2911385,17N,17
17N,Sam,2911466,17N,17
17N,Sam,2911546,17N,17
17N,Sam,2911565,17N,17
17N,Sam,2911694,17N,17
17N,Sam,2911828,17N,17
17N,Sam,2911888,17N,17
17N,Sam,2911909,17N,17
17N,Sam,2911997,17N,17
17N,Sam,2912113,17N,17
17N,Sam,2912270,17N,17
17N,Sam,2912480,17N,17
17N,Sam,2913021,17N,17
17N,Sam,2913030,17N,17
17S,Sam,2910815,17S,17
17S,Sam,2910861,17S,17
17S,Sam,2910922,17S,17
17S,Sam,2911141,17S,17
17S,Sam,2911290,17S,17
17S,Sam,2911326,17S,17
17S,Sam,2911386,17S,17
17S,Sam,2911467,17S,17
17S,Sam,2911547,17S,17
17S,Sam,2911566,17S,17
17S,Sam,2911600,17S,17
17S,Sam,2911695,17S,17
17S,Sam,2911829,17S,17
17S,Sam,2911889,17S,17
17S,Sam,2911910,17S,17
17S,Sam,2911998,17S,17
17S,Sam,2912114,17S,17
17S,Sam,2912271,17S,17
17S,Sam,2912481,17S,17
17S,Sam,2913022,17S,17
17S,Sam,2913031,17S,17
20E,Sam,2910879,20E,20
20E,Sam,2910966,20E,20
20E,Sam,2911119,20E,20
20E,Sam,2911176,20E,20
20E,Sam,2911185,20E,20
20E,Sam,2911580,20E,20
20E,Sam,2911609,20E,20
20E,Sam,2911921,20E,20
20E,Sam,2912029,20E,20
20E,Sam,2912051,20E,20
20E,Sam,2912078,20E,20
20E,Sam,2912086,20E,20
20E,Sam,2912454,20E,20
20E,Sam,2912658,20E,20
20E,Sam,2913036,20E,20
20E,Sam,2913039,20E,20
20E,Sam,2913047,20E,20
20O,Sam,2910764,20O,20
20O,Sam,2910820,20O,20
20O,Sam,2910965,20O,20
20O,Sam,2911184,20O,20
20O,Sam,2911579,20O,20
20O,Sam,2911608,20O,20
20O,Sam,2911920,20O,20
20O,Sam,2912028,20O,20
20O,Sam,2912044,20O,20
20O,Sam,2912077,20O,20
20O,Sam,2912085,20O,20
20O,Sam,2912218,20O,20
20O,Sam,2912418,20O,20
20O,Sam,2912453,20O,20
20O,Sam,2912660,20O,20
20O,Sam,2913035,20O,20
20O,Sam,2913038,20O,20
222E,Sam,2910789,222E,222
222E,Sam,2910982,222E,222
222E,Sam,2911265,222E,222
222E,Sam,2911540,222E,222
222E,Sam,2911976,222E,222
222E,Sam,2912441,222E,222
222E,Sam,2912722,222E,222
222E,Sam,2912952,222E,222
222O,Sam,2910790,222O,222
222O,Sam,2910983,222O,222
222O,Sam,2911541,222O,222
222O,Sam,2912558,222O,222
222O,Sam,2912723,222O,222
222O,Sam,2912953,222O,222
22E,Sam,2910809,22E,22
22E,Sam,2910901,22E,22
22E,Sam,2910992,22E,22
22E,Sam,2911064,22E,22
22E,Sam,2911239,22E,22
22E,Sam,2911296,22E,22
22E,Sam,2911458,22E,22
22E,Sam,2911497,22E,22
22E,Sam,2911544,22E,22
22E,Sam,2911934,22E,22
22E,Sam,2912015,22E,22
22E,Sam,2912348,22E,22
22E,Sam,2912449,22E,22
22E,Sam,2912586,22E,22
22E,Sam,2912609,22E,22
22E,Sam,2912713,22E,22
22E,Sam,2912754,22E,22
22O,Sam,2910805,22O,22
22O,Sam,2911065,22O,22
22O,Sam,2911240,22O,22
22O,Sam,2911288,22O,22
22O,Sam,2911297,22O,22
