route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2857876,12E,12
12E,Sem,2857929,12E,12
12E,Sem,2858531,12E,12
12E,Sem,2858797,12E,12
12E,Sem,2858984,12E,12
12E,Sem,2859001,12E,12
12E,Sem,2859323,12E,12
12E,Sem,2859352,12E,12
12E,Sem,2859545,12E,12
12E,Sem,2859653,12E,12
12E,Sem,2859833,12E,12
12E,Sem,2860352,12E,12
12E,Sem,2860571,12E,12
12E,Sem,2860699,12E,12
12E,Sem,2860728,12E,12
12E,Sem,2860795,12E,12
12E,Sem,2860946,12E,12
12E,Sem,2861212,12E,12
12E,Sem,2861655,12E,12
12E,Sem,2861703,12E,12
12E,Sem,2862059,12E,12
12O,Sem,2857877,12O,12
12O,Sem,2857930,12O,12
12O,Sem,2858532,12O,12
12O,Sem,2858798,12O,12
12O,Sem,2858985,12O,12
12O,Sem,2859002,12O,12
12O,Sem,2859324,12O,12
12O,Sem,2859353,12O,12
12O,Sem,2859546,12O,12
12O,Sem,2859654,12O,12
12O,Sem,2859834,12O,12
12O,Sem,2860353,12O,12
12O,Sem,2860572,12O,12
12O,Sem,2860700,12O,12
12O,Sem,2860729,12O,12
12O,Sem,2860796,12O,12
12O,Sem,2860947,12O,12
12O,Sem,2861213,12O,12
12O,Sem,2861656,12O,12
12O,Sem,2861704,12O,12
12O,Sem,2862060,12O,12
144E,Sem,2857769,144E,144
144E,Sem,2857975,144E,144
144E,Sem,2857979,144E,144
144E,Sem,2858145,144E,144
144E,Sem,2858223,144E,144
144E,Sem,2858302,144E,144
144E,Sem,2858426,144E,144
144E,Sem,2858430,144E,144
144E,Sem,2858591,144E,144
144E,Sem,2858794,144E,144
144E,Sem,2858836,144E,144
144E,Sem,2859029,144E,144
144E,Sem,2859138,144E,144
144E,Sem,2859188,144E,144
144E,Sem,2859192,144E,144
144E,Sem,2859196,144E,144
144E,Sem,2859227,144E,144
144E,Sem,2859445,144E,144
144E,Sem,2859667,144E,144
144E,Sem,2859783,144E,144
144E,Sem,2860061,144E,144
144E,Sem,2860170,144E,144
144E,Sem,2860204,144E,144
144E,Sem,2860365,144E,144
144E,Sem,2860371,144E,144
144E,Sem,2860535,144E,144
144E,Sem,2860745,144E,144
144E,Sem,2860916,144E,144
144E,Sem,2860963,144E,144
144E,Sem,2861377,144E,144
144E,Sem,2861381,144E,144
144E,Sem,2861387,144E,144
144E,Sem,2861396,144E,144
144E,Sem,2861503,144E,144
144E,Sem,2861530,144E,144
144E,Sem,2861941,144E,144
144E,Sem,2861945,144E,144
144E,Sem,2862227,144E,144
144E,Sem,2862240,144E,144
144O,Sem,2857608,144O,144
144O,Sem,2857740,144O,144
144O,Sem,2857978,144O,144
144O,Sem,2858226,144O,144
144O,Sem,2858323,144O,144
144O,Sem,2858385,144O,144
144O,Sem,2858429,144O,144
144O,Sem,2858433,144O,144
144O,Sem,2858590,144O,144
144O,Sem,2858793,144O,144
144O,Sem,2858876,144O,144
144O,Sem,2859009,144O,144
144O,Sem,2859137,144O,144
144O,Sem,2859195,144O,144
144O,Sem,2859230,144O,144
144O,Sem,2859432,144O,144
144O,Sem,2859794,144O,144
144O,Sem,2859995,144O,144
144O,Sem,2860203,144O,144
144O,Sem,2860285,144O,144
144O,Sem,2860444,144O,144
144O,Sem,2860508,144O,144
144O,Sem,2860650,144O,144
144O,Sem,2860839,144O,144
144O,Sem,2860899,144O,144
144O,Sem,2860962,144O,144
144O,Sem,2860966,144O,144
144O,Sem,2861380,144O,144
144O,Sem,2861384,144O,144
144O,Sem,2861502,144O,144
144O,Sem,2861533,144O,144
144O,Sem,2861599,144O,144
144O,Sem,2861776,144O,144
144O,Sem,2861822,144O,144
144O,Sem,2861865,144O,144
144O,Sem,2861937,144O,144
144O,Sem,2861940,144O,144
144O,Sem,2861944,144O,144
144O,Sem,2862026,144O,144
144O,Sem,2862163,144O,144
144O,Sem,2862243,144O,144
151N,Sem,2857779,151N,151
151N,Sem,2857892,151N,151
151N,Sem,2857982,151N,151
151N,Sem,2858045,151N,151
151N,Sem,2858116,151N,151
151N,Sem,2858148,151N,151
151N,Sem,2858305,151N,151
151N,Sem,2858494,151N,151
151N,Sem,2858498,151N,151
151N,Sem,2858534,151N,151
151N,Sem,2858538,151N,151
151N,Sem,2858584,151N,151
151N,Sem,2858596,151N,151
151N,Sem,2858741,151N,151
151N,Sem,2858754,151N,151
151N,Sem,2858802,151N,151
151N,Sem,2859005,151N,151
151N,Sem,2859012,151N,151
151N,Sem,2859101,151N,151
151N,Sem,2859199,151N,151
151N,Sem,2859251,151N,151
151N,Sem,2859345,151N,151
151N,Sem,2859360,151N,151
151N,Sem,2859448,151N,151
151N,Sem,2859471,151N,151
151N,Sem,2860088,151N,151
151N,Sem,2860164,151N,151
151N,Sem,2860368,151N,151
151N,Sem,2860454,151N,151
151N,Sem,2860504,151N,151
151N,Sem,2860706,151N,151
151N,Sem,2860913,151N,151
151N,Sem,2861021,151N,151
151N,Sem,2861032,151N,151
151N,Sem,2861270,151N,151
151N,Sem,2861296,151N,151
151N,Sem,2861300,151N,151
151N,Sem,2861399,151N,151
151N,Sem,2861449,151N,151
151N,Sem,2861470,151N,151
